gene	all_snps	covered_snps	line_486	line_535	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	29	2	0	1	1.0	1.0	1
FBgn0000014	15	1	1	0	1.0	1.0	4
FBgn0000015	22	1	1	0	1.0	1.0	3
FBgn0000017	3	0	0	0	1.0	1.0	222
FBgn0000018	0	0	0	0	1.0	1.0	63
FBgn0000022	2	0	0	0	1.0	1.0	0
FBgn0000024	16	3	3	7	0.3437500000000002	1.0	70
FBgn0000028	8	0	0	0	1.0	1.0	0
FBgn0000032	0	0	0	0	1.0	1.0	89
FBgn0000036	17	0	0	0	1.0	1.0	0
FBgn0000037	13	0	0	0	1.0	1.0	0
FBgn0000038	14	0	0	0	1.0	1.0	2
FBgn0000039	12	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	9062
FBgn0000043	0	0	0	0	1.0	1.0	970
FBgn0000044	18	4	5	3	0.7265625000000002	1.0	620
FBgn0000045	0	0	0	0	1.0	1.0	30
FBgn0000046	16	2	50	31	0.04482852238579883	0.7159562828726561	373
FBgn0000047	1	0	0	0	1.0	1.0	1
FBgn0000052	9	0	0	0	1.0	1.0	20
FBgn0000053	23	0	0	0	1.0	1.0	18
FBgn0000054	1	1	2	0	0.5	1.0	96
FBgn0000055	1	0	0	0	1.0	1.0	0
FBgn0000056	1	0	0	0	1.0	1.0	0
FBgn0000057	3	2	1	4	0.3749999999999999	1.0	45
FBgn0000061	2	0	0	0	1.0	1.0	0
FBgn0000063	4	3	0	2	0.5	1.0	4
FBgn0000064	13	5	160	117	0.011483101682460063	0.28504547398413804	1406
FBgn0000071	0	0	0	0	1.0	1.0	0
FBgn0000075	8	0	0	0	1.0	1.0	2
FBgn0000077	6	3	7	1	0.07031250000000003	0.9186964521089634	76
FBgn0000078	4	4	7	8	1.0	1.0	384
FBgn0000079	3	3	318	85	5.9353492726787535E-33	6.788669871958491E-30	3855
FBgn0000083	8	3	27	26	1.0	1.0	695
