gene	all_snps	covered_snps	line_738	line_721	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	38	0	0	0	1.0	1.0	0
FBgn0000014	4	0	0	0	1.0	1.0	3
FBgn0000015	17	0	0	0	1.0	1.0	5
FBgn0000017	9	0	0	0	1.0	1.0	40
FBgn0000018	10	0	0	0	1.0	1.0	13
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	6	2	1	4	0.3749999999999999	1.0	63
FBgn0000028	6	0	0	0	1.0	1.0	0
FBgn0000032	1	0	0	0	1.0	1.0	51
FBgn0000036	3	0	0	0	1.0	1.0	0
FBgn0000037	9	0	0	0	1.0	1.0	0
FBgn0000038	24	0	0	0	1.0	1.0	0
FBgn0000039	2	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	1951
FBgn0000043	0	0	0	0	1.0	1.0	270
FBgn0000044	9	2	4	3	1.0	1.0	479
FBgn0000045	0	0	0	0	1.0	1.0	3
FBgn0000046	5	4	0	2	0.5	1.0	214
FBgn0000047	3	0	0	0	1.0	1.0	0
FBgn0000052	17	0	0	0	1.0	1.0	19
FBgn0000053	26	0	0	0	1.0	1.0	8
FBgn0000054	1	1	4	1	0.3749999999999999	1.0	53
FBgn0000055	9	0	0	0	1.0	1.0	0
FBgn0000056	5	0	0	0	1.0	1.0	0
FBgn0000057	8	2	2	0	0.5	1.0	22
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	7	0	0	0	1.0	1.0	0
FBgn0000064	11	7	75	75	1.0	1.0	1033
FBgn0000071	1	0	0	0	1.0	1.0	1
FBgn0000075	16	1	0	1	1.0	1.0	1
FBgn0000077	6	0	0	0	1.0	1.0	40
FBgn0000078	1	1	337	1	1.210852267639707E-99	9.002081183767402E-96	941
FBgn0000079	2	0	0	0	1.0	1.0	3490
FBgn0000083	2	0	0	0	1.0	1.0	270
FBgn0000084	0	0	0	0	1.0	1.0	13
FBgn0000092	0	0	0	0	1.0	1.0	1
FBgn0000094	2	0	0	0	1.0	1.0	0
FBgn0000097	15	2	0	2	0.5	1.0	46
FBgn0000099	4	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	1939
FBgn0000108	10	1	0	1	1.0	1.0	4
FBgn0000109	14	10	28	21	0.39160291054749063	1.0	71
FBgn0000114	6	0	0	0	1.0	1.0	8
FBgn0000115	1	1	6	6	1.0	1.0	85
FBgn0000116	21	7	47	100	1.4694252456726733E-5	0.0062425382794019935	1965
FBgn0000117	5	1	2	1	0.6250000000000002	1.0	157
FBgn0000119	57	1	0	1	1.0	1.0	20
FBgn0000120	0	0	0	0	1.0	1.0	0
FBgn0000121	10	0	0	0	1.0	1.0	0
FBgn0000137	7	0	0	0	1.0	1.0	0
FBgn0000139	26	7	19	11	0.20048842206597367	1.0	110
FBgn0000140	0	0	0	0	1.0	1.0	1
FBgn0000142	38	2	1	2	1.0	1.0	9
FBgn0000146	2	1	1	0	1.0	1.0	1
FBgn0000147	1	0	0	0	1.0	1.0	2
FBgn0000150	0	0	0	0	1.0	1.0	656
FBgn0000152	25	3	4	1	0.3749999999999999	1.0	20
FBgn0000153	9	0	0	0	1.0	1.0	0
FBgn0000157	2	0	0	0	1.0	1.0	1
FBgn0000158	1	0	0	0	1.0	1.0	0
FBgn0000163	34	0	0	0	1.0	1.0	9
FBgn0000166	2	0	0	0	1.0	1.0	0
FBgn0000171	2	0	0	0	1.0	1.0	7
FBgn0000173	1	0	0	0	1.0	1.0	202
FBgn0000179	22	0	0	0	1.0	1.0	0
FBgn0000180	27	3	1	0	1.0	1.0	1
FBgn0000181	8	6	62	36	0.011174544214771178	1.0	779
FBgn0000182	0	0	0	0	1.0	1.0	0
FBgn0000183	10	2	1	15	5.187988281249996E-4	0.13533368027001086	67
FBgn0000206	5	0	0	0	1.0	1.0	0
FBgn0000210	8	0	0	0	1.0	1.0	1
FBgn0000212	20	0	0	0	1.0	1.0	23
FBgn0000216	0	0	0	0	1.0	1.0	0
FBgn0000221	0	0	0	0	1.0	1.0	10
FBgn0000227	24	0	0	0	1.0	1.0	0
FBgn0000228	22	0	0	0	1.0	1.0	36
FBgn0000229	35	4	11	7	0.48068237304687494	1.0	146
FBgn0000233	9	0	0	0	1.0	1.0	0
FBgn0000239	4	0	0	0	1.0	1.0	32
FBgn0000241	16	4	5	3	0.7265625000000002	1.0	5
FBgn0000242	3	0	0	0	1.0	1.0	4
FBgn0000244	17	1	0	1	1.0	1.0	72
FBgn0000246	1	0	0	0	1.0	1.0	4
FBgn0000247	8	0	0	0	1.0	1.0	13
FBgn0000250	2	0	0	0	1.0	1.0	113
FBgn0000251	4	0	0	0	1.0	1.0	49
FBgn0000253	5	4	103	95	0.6189709988332968	1.0	1084
FBgn0000256	62	6	2	6	0.2890625000000001	1.0	78
FBgn0000257	18	6	13	5	0.0962524414062501	1.0	31
FBgn0000258	0	0	0	0	1.0	1.0	196
FBgn0000259	3	1	4	3	1.0	1.0	148
FBgn0000261	2	2	21	17	0.6271025701571491	1.0	297
FBgn0000273	38	0	0	0	1.0	1.0	15
FBgn0000274	1	0	0	0	1.0	1.0	0
FBgn0000276	0	0	0	0	1.0	1.0	0
FBgn0000277	0	0	0	0	1.0	1.0	0
FBgn0000278	0	0	0	0	1.0	1.0	0
FBgn0000279	1	0	0	0	1.0	1.0	0
FBgn0000280	1	0	0	0	1.0	1.0	0
FBgn0000281	2	0	0	0	1.0	1.0	0
FBgn0000283	1	0	0	0	1.0	1.0	22
FBgn0000286	9	2	0	4	0.125	1.0	21
FBgn0000287	22	0	0	0	1.0	1.0	0
FBgn0000289	2	2	4	3	1.0	1.0	50
FBgn0000299	11	0	0	0	1.0	1.0	1
FBgn0000303	3	0	0	0	1.0	1.0	1
FBgn0000307	29	1	0	3	0.25000000000000006	1.0	14
FBgn0000308	2	1	24	21	0.7659918242447925	1.0	557
FBgn0000313	2	0	0	0	1.0	1.0	0
FBgn0000316	0	0	0	0	1.0	1.0	0
FBgn0000317	35	0	0	0	1.0	1.0	6
FBgn0000318	1	1	18	28	0.18392482137699082	1.0	318
FBgn0000319	17	1	10	13	0.6776394844055178	1.0	180
FBgn0000320	20	0	0	0	1.0	1.0	0
FBgn0000326	0	0	0	0	1.0	1.0	25
FBgn0000330	0	0	0	0	1.0	1.0	4
FBgn0000337	10	0	0	0	1.0	1.0	0
FBgn0000338	9	2	6	1	0.12500000000000006	1.0	229
FBgn0000339	1	1	11	9	0.8238029479980468	1.0	238
FBgn0000346	6	0	0	0	1.0	1.0	0
FBgn0000351	3	0	0	0	1.0	1.0	0
FBgn0000352	9	0	0	0	1.0	1.0	6
FBgn0000355	1	0	0	0	1.0	1.0	0
FBgn0000356	3	0	0	0	1.0	1.0	1
FBgn0000357	3	1	0	2	0.5	1.0	2
FBgn0000358	6	0	0	0	1.0	1.0	0
FBgn0000359	3	0	0	0	1.0	1.0	0
FBgn0000360	2	0	0	0	1.0	1.0	0
FBgn0000363	43	0	0	0	1.0	1.0	0
FBgn0000370	4	1	0	2	0.5	1.0	530
FBgn0000376	4	0	0	0	1.0	1.0	4
FBgn0000377	13	5	5	5	1.0	1.0	22
FBgn0000382	36	9	0	6	0.031250000000000014	1.0	46
FBgn0000384	0	0	0	0	1.0	1.0	32
FBgn0000392	15	0	0	0	1.0	1.0	13
FBgn0000394	3	0	0	0	1.0	1.0	19
FBgn0000395	36	3	3	5	0.7265625000000002	1.0	19
FBgn0000404	17	1	1	0	1.0	1.0	1
FBgn0000405	1	0	0	0	1.0	1.0	0
FBgn0000406	0	0	0	0	1.0	1.0	13
FBgn0000409	3	2	7	4	0.5488281249999998	1.0	587
FBgn0000411	11	1	0	1	1.0	1.0	3
FBgn0000412	0	0	0	0	1.0	1.0	81
FBgn0000413	4	0	0	0	1.0	1.0	29
FBgn0000414	31	0	0	0	1.0	1.0	0
FBgn0000416	3	2	48	41	0.525014787292427	1.0	874
FBgn0000422	2	0	0	0	1.0	1.0	11
FBgn0000426	0	0	0	0	1.0	1.0	22
FBgn0000427	5	0	0	0	1.0	1.0	0
FBgn0000439	5	0	0	0	1.0	1.0	0
FBgn0000442	19	0	0	0	1.0	1.0	26
FBgn0000447	1	1	3	0	0.25000000000000006	1.0	68
FBgn0000448	42	0	0	0	1.0	1.0	1
