gene	all_snps	covered_snps	line_386	line_426	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	10	0	0	0	1.0	1.0	5
FBgn0000014	17	0	0	0	1.0	1.0	3
FBgn0000015	22	0	0	0	1.0	1.0	1
FBgn0000017	23	0	0	0	1.0	1.0	3
FBgn0000018	4	2	2	5	0.45312499999999994	1.0	15
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	14	1	0	1	1.0	1.0	11
FBgn0000028	3	0	0	0	1.0	1.0	0
FBgn0000032	4	2	4	1	0.3749999999999999	1.0	33
FBgn0000036	12	0	0	0	1.0	1.0	0
FBgn0000037	3	0	0	0	1.0	1.0	0
FBgn0000038	18	0	0	0	1.0	1.0	0
FBgn0000039	5	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	1596
FBgn0000043	1	1	7	15	0.09313964843749997	1.0	121
FBgn0000044	17	0	0	0	1.0	1.0	190
FBgn0000045	0	0	0	0	1.0	1.0	12
FBgn0000046	12	4	19	20	1.0	1.0	139
FBgn0000047	3	0	0	0	1.0	1.0	0
FBgn0000052	23	1	1	0	1.0	1.0	7
FBgn0000053	24	0	0	0	1.0	1.0	9
FBgn0000054	0	0	0	0	1.0	1.0	24
FBgn0000055	5	0	0	0	1.0	1.0	0
FBgn0000056	3	0	0	0	1.0	1.0	0
FBgn0000057	5	2	4	1	0.3749999999999999	1.0	22
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	9	0	0	0	1.0	1.0	0
FBgn0000064	16	11	127	141	0.4271902756046897	1.0	917
FBgn0000071	3	0	0	0	1.0	1.0	0
FBgn0000075	2	0	0	0	1.0	1.0	0
FBgn0000077	5	0	0	0	1.0	1.0	45
FBgn0000078	1	0	0	0	1.0	1.0	954
FBgn0000079	1	1	186	83	3.060027145194795E-10	3.499964893992416E-7	4416
FBgn0000083	9	4	12	22	0.12144948495551919	1.0	117
FBgn0000084	0	0	0	0	1.0	1.0	12
FBgn0000092	8	0	0	0	1.0	1.0	0
FBgn0000094	4	0	0	0	1.0	1.0	0
FBgn0000097	5	0	0	0	1.0	1.0	27
FBgn0000099	4	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	1439
FBgn0000108	9	0	0	0	1.0	1.0	3
FBgn0000109	6	5	8	4	0.3876953125000001	1.0	50
FBgn0000114	10	0	0	0	1.0	1.0	5
FBgn0000115	0	0	0	0	1.0	1.0	112
FBgn0000116	15	7	48	78	0.009503165032902222	1.0	1566
FBgn0000117	1	0	0	0	1.0	1.0	86
FBgn0000119	34	1	2	0	0.5	1.0	16
FBgn0000120	6	0	0	0	1.0	1.0	0
FBgn0000121	18	0	0	0	1.0	1.0	0
FBgn0000137	3	0	0	0	1.0	1.0	0
FBgn0000139	3	1	6	2	0.2890625000000001	1.0	62
FBgn0000140	2	0	0	0	1.0	1.0	2
FBgn0000142	18	1	0	2	0.5	1.0	8
FBgn0000146	3	0	0	0	1.0	1.0	1
FBgn0000147	4	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	605
FBgn0000152	22	0	0	0	1.0	1.0	8
FBgn0000153	0	0	0	0	1.0	1.0	1
FBgn0000157	0	0	0	0	1.0	1.0	0
FBgn0000158	5	0	0	0	1.0	1.0	0
FBgn0000163	35	0	0	0	1.0	1.0	3
FBgn0000166	3	0	0	0	1.0	1.0	0
FBgn0000171	5	1	1	0	1.0	1.0	12
FBgn0000173	1	1	7	3	0.3437500000000002	1.0	161
FBgn0000179	16	0	0	0	1.0	1.0	0
FBgn0000180	2	0	0	0	1.0	1.0	0
FBgn0000181	2	0	0	0	1.0	1.0	544
FBgn0000182	0	0	0	0	1.0	1.0	4
FBgn0000183	4	1	3	0	0.25000000000000006	1.0	37
FBgn0000206	17	0	0	0	1.0	1.0	0
FBgn0000210	37	0	0	0	1.0	1.0	0
FBgn0000212	16	0	0	0	1.0	1.0	11
FBgn0000216	4	0	0	0	1.0	1.0	0
FBgn0000221	0	0	0	0	1.0	1.0	10
FBgn0000227	11	0	0	0	1.0	1.0	0
FBgn0000228	16	2	1	2	1.0	1.0	27
FBgn0000229	16	0	0	0	1.0	1.0	112
FBgn0000233	8	0	0	0	1.0	1.0	0
FBgn0000239	0	0	0	0	1.0	1.0	13
FBgn0000241	21	0	0	0	1.0	1.0	0
FBgn0000242	14	0	0	0	1.0	1.0	2
FBgn0000244	0	0	0	0	1.0	1.0	52
FBgn0000246	25	0	0	0	1.0	1.0	0
FBgn0000247	35	0	0	0	1.0	1.0	15
FBgn0000250	5	0	0	0	1.0	1.0	78
FBgn0000251	0	0	0	0	1.0	1.0	38
FBgn0000253	2	1	4	6	0.7539062500000002	1.0	736
FBgn0000256	26	4	2	5	0.45312499999999994	1.0	55
FBgn0000257	1	0	0	0	1.0	1.0	9
FBgn0000258	0	0	0	0	1.0	1.0	109
FBgn0000259	1	0	0	0	1.0	1.0	136
FBgn0000261	3	1	19	19	1.0	1.0	354
FBgn0000273	28	4	1	3	0.6250000000000001	1.0	24
FBgn0000274	0	0	0	0	1.0	1.0	0
FBgn0000276	2	0	0	0	1.0	1.0	0
FBgn0000277	12	0	0	0	1.0	1.0	0
FBgn0000278	12	0	0	0	1.0	1.0	0
FBgn0000279	6	0	0	0	1.0	1.0	0
FBgn0000280	0	0	0	0	1.0	1.0	0
FBgn0000281	4	0	0	0	1.0	1.0	0
FBgn0000283	0	0	0	0	1.0	1.0	16
FBgn0000286	16	0	0	0	1.0	1.0	21
FBgn0000287	17	0	0	0	1.0	1.0	0
FBgn0000289	12	1	0	1	1.0	1.0	15
FBgn0000299	10	0	0	0	1.0	1.0	0
FBgn0000303	6	0	0	0	1.0	1.0	0
FBgn0000307	36	1	0	2	0.5	1.0	5
FBgn0000308	5	2	31	42	0.24164472314075203	1.0	441
FBgn0000313	17	0	0	0	1.0	1.0	0
FBgn0000316	0	0	0	0	1.0	1.0	0
FBgn0000317	12	0	0	0	1.0	1.0	1
FBgn0000318	1	1	5	6	0.9999999999999998	1.0	325
FBgn0000319	15	0	0	0	1.0	1.0	102
FBgn0000320	11	0	0	0	1.0	1.0	0
FBgn0000326	7	1	2	1	0.6250000000000002	1.0	23
FBgn0000330	0	0	0	0	1.0	1.0	2
FBgn0000337	6	0	0	0	1.0	1.0	0
FBgn0000338	38	11	27	40	0.14207137942637574	1.0	150
FBgn0000339	0	0	0	0	1.0	1.0	272
FBgn0000346	5	0	0	0	1.0	1.0	0
FBgn0000351	4	0	0	0	1.0	1.0	0
FBgn0000352	4	0	0	0	1.0	1.0	4
FBgn0000355	1	0	0	0	1.0	1.0	0
FBgn0000356	7	2	0	2	0.5	1.0	4
FBgn0000357	1	1	1	1	1.0	1.0	8
FBgn0000358	4	1	0	2	0.5	1.0	6
FBgn0000359	2	0	0	0	1.0	1.0	0
FBgn0000360	6	0	0	0	1.0	1.0	0
FBgn0000363	61	1	1	0	1.0	1.0	2
FBgn0000370	2	1	1	0	1.0	1.0	347
FBgn0000376	13	1	0	1	1.0	1.0	3
FBgn0000377	12	6	7	3	0.3437500000000002	1.0	17
FBgn0000382	27	0	0	0	1.0	1.0	20
FBgn0000384	0	0	0	0	1.0	1.0	15
FBgn0000392	11	0	0	0	1.0	1.0	18
FBgn0000394	0	0	0	0	1.0	1.0	1
FBgn0000395	19	2	1	0	1.0	1.0	9
FBgn0000404	19	1	0	1	1.0	1.0	2
FBgn0000405	2	0	0	0	1.0	1.0	7
FBgn0000406	0	0	0	0	1.0	1.0	22
FBgn0000409	1	1	7	2	0.17968750000000003	1.0	641
FBgn0000411	14	0	0	0	1.0	1.0	2
FBgn0000412	3	3	13	16	0.7110711038112639	1.0	52
FBgn0000413	2	0	0	0	1.0	1.0	31
FBgn0000414	51	2	0	1	1.0	1.0	3
FBgn0000416	20	6	82	59	0.06353719866713947	1.0	588
FBgn0000422	1	0	0	0	1.0	1.0	0
FBgn0000426	0	0	0	0	1.0	1.0	12
FBgn0000427	10	0	0	0	1.0	1.0	3
FBgn0000439	6	0	0	0	1.0	1.0	0
FBgn0000442	15	0	0	0	1.0	1.0	2
FBgn0000447	4	2	7	9	0.8036193847656253	1.0	56
FBgn0000448	23	0	0	0	1.0	1.0	0
FBgn0000449	22	0	0	0	1.0	1.0	0
FBgn0000451	10	0	0	0	1.0	1.0	0
FBgn0000454	10	1	1	0	1.0	1.0	354
FBgn0000455	1	1	4	2	0.6875000000000004	1.0	224
FBgn0000459	10	0	0	0	1.0	1.0	8
FBgn0000463	15	0	0	0	1.0	1.0	2
