gene	all_snps	covered_snps	line_486	line_535	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	29	0	0	0	1.0	1.0	0
FBgn0000014	15	0	0	0	1.0	1.0	2
FBgn0000015	22	0	0	0	1.0	1.0	5
FBgn0000017	3	0	0	0	1.0	1.0	149
FBgn0000018	0	0	0	0	1.0	1.0	68
FBgn0000022	2	0	0	0	1.0	1.0	0
FBgn0000024	16	2	0	1	1.0	1.0	44
FBgn0000028	8	0	0	0	1.0	1.0	0
FBgn0000032	0	0	0	0	1.0	1.0	105
FBgn0000036	17	0	0	0	1.0	1.0	0
FBgn0000037	13	0	0	0	1.0	1.0	1
FBgn0000038	14	0	0	0	1.0	1.0	0
FBgn0000039	12	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	10592
FBgn0000043	0	0	0	0	1.0	1.0	896
FBgn0000044	18	2	6	5	0.9999999999999998	1.0	827
FBgn0000045	0	0	0	0	1.0	1.0	37
FBgn0000046	16	4	53	25	0.0020311403741627232	0.05110156721391799	427
FBgn0000047	1	0	0	0	1.0	1.0	9
FBgn0000052	9	0	0	0	1.0	1.0	20
FBgn0000053	23	1	0	1	1.0	1.0	32
FBgn0000054	1	0	0	0	1.0	1.0	112
FBgn0000055	1	0	0	0	1.0	1.0	0
FBgn0000056	1	0	0	0	1.0	1.0	0
FBgn0000057	3	1	1	2	1.0	1.0	30
FBgn0000061	2	0	0	0	1.0	1.0	0
FBgn0000063	4	0	0	0	1.0	1.0	3
FBgn0000064	13	5	173	94	1.5319050142500495E-6	1.026031335895675E-4	1293
FBgn0000071	0	0	0	0	1.0	1.0	2
FBgn0000075	8	0	0	0	1.0	1.0	3
FBgn0000077	6	3	8	8	1.0	1.0	90
FBgn0000078	4	4	10	9	1.0	1.0	534
FBgn0000079	3	3	479	68	4.0221663763621944E-77	8.963811459029312E-74	5864
FBgn0000083	8	3	31	25	0.5044037600228254	1.0	638
FBgn0000084	0	0	0	0	1.0	1.0	28
FBgn0000092	8	1	0	1	1.0	1.0	4
FBgn0000094	3	0	0	0	1.0	1.0	0
FBgn0000097	16	2	10	5	0.30175781250000033	1.0	209
FBgn0000099	19	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	2413
FBgn0000108	7	0	0	0	1.0	1.0	6
FBgn0000109	9	9	26	34	0.3662940067032908	1.0	131
FBgn0000114	16	0	0	0	1.0	1.0	9
FBgn0000115	0	0	0	0	1.0	1.0	202
FBgn0000116	9	1	1	0	1.0	1.0	2656
FBgn0000117	1	1	1	2	1.0	1.0	269
FBgn0000119	19	2	7	2	0.17968750000000003	1.0	26
FBgn0000120	1	0	0	0	1.0	1.0	0
FBgn0000121	14	0	0	0	1.0	1.0	0
FBgn0000137	5	0	0	0	1.0	1.0	0
FBgn0000139	14	10	51	25	0.0038362357516146324	0.0873522042737488	161
FBgn0000140	2	0	0	0	1.0	1.0	0
FBgn0000142	22	4	3	1	0.6250000000000001	1.0	43
FBgn0000146	6	0	0	0	1.0	1.0	3
FBgn0000147	0	0	0	0	1.0	1.0	1
FBgn0000150	2	2	15	13	0.8505540192127223	1.0	877
FBgn0000152	20	1	2	2	1.0	1.0	33
FBgn0000153	24	1	1	0	1.0	1.0	1
FBgn0000157	0	0	0	0	1.0	1.0	0
FBgn0000158	2	0	0	0	1.0	1.0	0
FBgn0000163	13	1	2	0	0.5	1.0	53
FBgn0000166	1	0	0	0	1.0	1.0	0
FBgn0000171	5	2	0	4	0.125	1.0	23
FBgn0000173	2	2	26	10	0.011330984183587151	0.2055868612344139	388
FBgn0000179	13	0	0	0	1.0	1.0	0
FBgn0000180	7	0	0	0	1.0	1.0	2
FBgn0000181	10	6	57	26	8.775517800028658E-4	0.026859358345913468	846
FBgn0000182	18	0	0	0	1.0	1.0	0
FBgn0000183	11	1	1	0	1.0	1.0	108
FBgn0000206	15	0	0	0	1.0	1.0	0
FBgn0000210	10	0	0	0	1.0	1.0	3
FBgn0000212	12	4	4	0	0.125	1.0	38
FBgn0000216	6	0	0	0	1.0	1.0	0
FBgn0000221	14	5	11	11	1.0	1.0	35
FBgn0000227	2	0	0	0	1.0	1.0	0
FBgn0000228	12	2	5	2	0.45312499999999994	1.0	67
FBgn0000229	27	4	6	6	1.0	1.0	391
FBgn0000233	5	0	0	0	1.0	1.0	0
FBgn0000239	0	0	0	0	1.0	1.0	34
FBgn0000241	24	3	10	4	0.17956542968749992	1.0	4
FBgn0000242	11	1	1	0	1.0	1.0	6
FBgn0000244	32	11	29	23	0.4884556693798918	1.0	170
FBgn0000246	15	2	3	0	0.25000000000000006	1.0	7
FBgn0000247	29	1	2	4	0.6875000000000004	1.0	30
FBgn0000250	4	0	0	0	1.0	1.0	381
FBgn0000251	13	1	3	2	0.9999999999999998	1.0	226
FBgn0000253	3	2	32	37	0.6304564917867982	1.0	2309
FBgn0000256	74	7	50	19	2.443970165775753E-4	0.009365822782195792	318
FBgn0000257	15	4	9	6	0.6072387695312503	1.0	55
FBgn0000258	0	0	0	0	1.0	1.0	419
FBgn0000259	9	2	3	3	1.0	1.0	296
FBgn0000261	4	1	27	24	0.7797679305530745	1.0	379
FBgn0000273	15	1	2	2	1.0	1.0	18
FBgn0000274	3	0	0	0	1.0	1.0	0
FBgn0000276	3	0	0	0	1.0	1.0	0
FBgn0000277	12	0	0	0	1.0	1.0	1
FBgn0000278	4	0	0	0	1.0	1.0	0
FBgn0000279	8	4	10	0	0.001953125	0.049389482355442174	16
FBgn0000280	9	0	0	0	1.0	1.0	0
FBgn0000281	7	0	0	0	1.0	1.0	0
FBgn0000283	0	0	0	0	1.0	1.0	44
FBgn0000286	18	0	0	0	1.0	1.0	73
FBgn0000287	39	0	0	0	1.0	1.0	0
FBgn0000289	31	10	18	6	0.022655844688415482	0.3389031737143358	121
FBgn0000299	10	0	0	0	1.0	1.0	9
FBgn0000303	26	0	0	0	1.0	1.0	0
FBgn0000307	33	4	8	3	0.2265625	1.0	15
FBgn0000308	1	1	4	0	0.125	1.0	1929
FBgn0000313	21	0	0	0	1.0	1.0	0
FBgn0000316	3	0	0	0	1.0	1.0	0
FBgn0000317	43	2	4	3	1.0	1.0	16
FBgn0000318	4	4	111	40	6.473733481736735E-9	6.826804478010177E-7	661
FBgn0000319	12	0	0	0	1.0	1.0	504
FBgn0000320	8	0	0	0	1.0	1.0	0
FBgn0000326	12	12	34	15	0.009399241523873086	0.17491529689420393	73
FBgn0000330	11	3	3	1	0.6250000000000001	1.0	18
FBgn0000337	10	0	0	0	1.0	1.0	0
FBgn0000338	32	12	206	115	4.2848277342005495E-7	3.217732504031716E-5	691
FBgn0000339	1	0	0	0	1.0	1.0	306
FBgn0000346	9	0	0	0	1.0	1.0	3
FBgn0000351	8	0	0	0	1.0	1.0	0
FBgn0000352	13	2	4	2	0.6875000000000004	1.0	11
FBgn0000355	1	0	0	0	1.0	1.0	0
FBgn0000356	8	0	0	0	1.0	1.0	0
FBgn0000357	4	1	1	0	1.0	1.0	2
FBgn0000358	3	0	0	0	1.0	1.0	0
FBgn0000359	3	0	0	0	1.0	1.0	0
FBgn0000360	4	0	0	0	1.0	1.0	0
FBgn0000363	49	0	0	0	1.0	1.0	0
FBgn0000370	14	11	126	78	9.527251059124117E-4	0.02836036682128906	1272
FBgn0000376	1	0	0	0	1.0	1.0	22
FBgn0000377	10	6	19	6	0.014633297920227037	0.24557845008561605	53
FBgn0000382	12	0	0	0	1.0	1.0	65
FBgn0000384	0	0	0	0	1.0	1.0	39
FBgn0000392	2	0	0	0	1.0	1.0	32
FBgn0000394	3	0	0	0	1.0	1.0	21
FBgn0000395	20	3	57	16	1.5256583158538765E-6	1.026031335895675E-4	292
FBgn0000404	4	0	0	0	1.0	1.0	2
FBgn0000405	5	0	0	0	1.0	1.0	5
FBgn0000406	1	0	0	0	1.0	1.0	34
FBgn0000409	1	1	128	77	4.508213191168364E-4	0.015588981846391256	1677
FBgn0000411	3	0	0	0	1.0	1.0	0
FBgn0000412	2	1	7	5	0.7744140625000001	1.0	109
FBgn0000413	0	0	0	0	1.0	1.0	246
FBgn0000414	20	0	0	0	1.0	1.0	3
FBgn0000416	4	2	13	12	0.9999999999999999	1.0	1192
FBgn0000422	3	0	0	0	1.0	1.0	15
FBgn0000426	0	0	0	0	1.0	1.0	58
FBgn0000427	2	0	0	0	1.0	1.0	0
FBgn0000439	6	0	0	0	1.0	1.0	0
FBgn0000442	21	1	2	1	0.6250000000000002	1.0	25
FBgn0000447	5	1	6	0	0.031250000000000014	0.4302372685185187	124
FBgn0000448	6	0	0	0	1.0	1.0	1
