gene	all_snps	covered_snps	line_738	line_721	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	38	0	0	0	1.0	1.0	2
FBgn0000014	4	0	0	0	1.0	1.0	2
FBgn0000015	17	0	0	0	1.0	1.0	0
FBgn0000017	9	2	3	3	1.0	1.0	134
FBgn0000018	10	1	0	2	0.5	1.0	27
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	6	0	0	0	1.0	1.0	30
FBgn0000028	6	0	0	0	1.0	1.0	0
FBgn0000032	1	1	1	0	1.0	1.0	63
FBgn0000036	3	0	0	0	1.0	1.0	0
FBgn0000037	9	0	0	0	1.0	1.0	0
FBgn0000038	24	0	0	0	1.0	1.0	0
FBgn0000039	2	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	6227
FBgn0000043	0	0	0	0	1.0	1.0	423
FBgn0000044	9	2	1	2	1.0	1.0	410
FBgn0000045	0	0	0	0	1.0	1.0	18
FBgn0000046	5	0	0	0	1.0	1.0	194
FBgn0000047	3	0	0	0	1.0	1.0	3
FBgn0000052	17	0	0	0	1.0	1.0	13
FBgn0000053	26	0	0	0	1.0	1.0	10
FBgn0000054	1	1	6	4	0.7539062500000002	1.0	78
FBgn0000055	9	0	0	0	1.0	1.0	0
FBgn0000056	5	0	0	0	1.0	1.0	0
FBgn0000057	8	1	2	0	0.5	1.0	16
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	7	0	0	0	1.0	1.0	0
FBgn0000064	11	7	58	47	0.3291371261661389	1.0	897
FBgn0000071	1	0	0	0	1.0	1.0	0
FBgn0000075	16	1	0	1	1.0	1.0	2
FBgn0000077	6	1	1	0	1.0	1.0	67
FBgn0000078	1	1	186	0	2.0391576462495274E-56	6.064047008416845E-53	582
FBgn0000079	2	0	0	0	1.0	1.0	2091
FBgn0000083	2	0	0	0	1.0	1.0	492
FBgn0000084	0	0	0	0	1.0	1.0	24
FBgn0000092	0	0	0	0	1.0	1.0	0
FBgn0000094	2	0	0	0	1.0	1.0	0
FBgn0000097	15	4	11	10	1.0	1.0	306
FBgn0000099	4	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	2000
FBgn0000108	10	1	1	0	1.0	1.0	4
FBgn0000109	14	11	39	27	0.17528579444303521	1.0	89
FBgn0000114	6	0	0	0	1.0	1.0	7
FBgn0000115	1	1	11	9	0.8238029479980468	1.0	138
FBgn0000116	21	8	36	81	3.866344408238968E-5	0.008621264306845285	1399
FBgn0000117	5	1	0	3	0.25000000000000006	1.0	207
FBgn0000119	57	2	3	6	0.5078125000000004	1.0	49
FBgn0000120	0	0	0	0	1.0	1.0	2
FBgn0000121	10	0	0	0	1.0	1.0	0
FBgn0000137	7	0	0	0	1.0	1.0	0
FBgn0000139	26	6	2	17	7.28607177734373E-4	0.10518116626924653	110
FBgn0000140	0	0	0	0	1.0	1.0	3
FBgn0000142	38	7	9	11	0.8238029479980468	1.0	33
FBgn0000146	2	0	0	0	1.0	1.0	0
FBgn0000147	1	0	0	0	1.0	1.0	3
FBgn0000150	0	0	0	0	1.0	1.0	678
FBgn0000152	25	0	0	0	1.0	1.0	6
FBgn0000153	9	0	0	0	1.0	1.0	0
FBgn0000157	2	0	0	0	1.0	1.0	0
FBgn0000158	1	0	0	0	1.0	1.0	2
FBgn0000163	34	4	4	5	1.0	1.0	64
FBgn0000166	2	0	0	0	1.0	1.0	0
FBgn0000171	2	2	1	7	0.07031250000000003	1.0	58
FBgn0000173	1	0	0	0	1.0	1.0	264
FBgn0000179	22	0	0	0	1.0	1.0	2
FBgn0000180	27	4	2	0	0.5	1.0	5
FBgn0000181	8	6	63	47	0.15233780606025268	1.0	697
FBgn0000182	0	0	0	0	1.0	1.0	3
FBgn0000183	10	2	3	19	8.554458618164058E-4	0.11777404059062722	125
FBgn0000206	5	0	0	0	1.0	1.0	0
FBgn0000210	8	0	0	0	1.0	1.0	2
FBgn0000212	20	4	1	1	1.0	1.0	60
FBgn0000216	0	0	0	0	1.0	1.0	0
FBgn0000221	0	0	0	0	1.0	1.0	10
FBgn0000227	24	0	0	0	1.0	1.0	0
FBgn0000228	22	2	2	1	0.6250000000000002	1.0	68
FBgn0000229	35	6	18	9	0.12207812070846577	1.0	265
FBgn0000233	9	0	0	0	1.0	1.0	0
FBgn0000239	4	1	1	0	1.0	1.0	79
FBgn0000241	16	4	2	2	1.0	1.0	1
FBgn0000242	3	0	0	0	1.0	1.0	7
FBgn0000244	17	1	4	3	1.0	1.0	114
FBgn0000246	1	0	0	0	1.0	1.0	9
FBgn0000247	8	0	0	0	1.0	1.0	33
FBgn0000250	2	0	0	0	1.0	1.0	332
FBgn0000251	4	4	0	1	1.0	1.0	102
FBgn0000253	5	4	149	141	0.681105237780849	1.0	1964
FBgn0000256	62	9	8	12	0.5034446716308593	1.0	206
FBgn0000257	18	6	5	7	0.7744140625000001	1.0	36
FBgn0000258	0	0	0	0	1.0	1.0	335
FBgn0000259	3	0	0	0	1.0	1.0	271
FBgn0000261	2	1	25	12	0.047031027439515996	1.0	259
FBgn0000273	38	10	3	1	0.6250000000000001	1.0	30
FBgn0000274	1	0	0	0	1.0	1.0	0
FBgn0000276	0	0	0	0	1.0	1.0	0
FBgn0000277	0	0	0	0	1.0	1.0	3
FBgn0000278	0	0	0	0	1.0	1.0	0
FBgn0000279	1	0	0	0	1.0	1.0	5
FBgn0000280	1	0	0	0	1.0	1.0	0
FBgn0000281	2	0	0	0	1.0	1.0	0
FBgn0000283	1	0	0	0	1.0	1.0	38
FBgn0000286	9	9	7	17	0.06391465663909898	1.0	98
FBgn0000287	22	0	0	0	1.0	1.0	0
FBgn0000289	2	2	4	4	1.0	1.0	98
FBgn0000299	11	0	0	0	1.0	1.0	2
FBgn0000303	3	0	0	0	1.0	1.0	0
FBgn0000307	29	1	2	0	0.5	1.0	18
FBgn0000308	2	1	49	43	0.602412277696151	1.0	1404
FBgn0000313	2	0	0	0	1.0	1.0	0
FBgn0000316	0	0	0	0	1.0	1.0	0
FBgn0000317	35	2	0	3	0.25000000000000006	1.0	17
FBgn0000318	1	1	20	42	0.007148733833163088	0.4831569243877362	492
FBgn0000319	17	4	41	25	0.06401750413722547	1.0	532
FBgn0000320	20	0	0	0	1.0	1.0	0
FBgn0000326	0	0	0	0	1.0	1.0	37
FBgn0000330	0	0	0	0	1.0	1.0	13
FBgn0000337	10	0	0	0	1.0	1.0	1
FBgn0000338	9	2	13	9	0.5234670639038081	1.0	662
FBgn0000339	1	1	17	7	0.06391465663909898	1.0	297
FBgn0000346	6	1	1	0	1.0	1.0	6
FBgn0000351	3	0	0	0	1.0	1.0	3
FBgn0000352	9	0	0	0	1.0	1.0	1
FBgn0000355	1	1	2	5	0.45312499999999994	1.0	14
FBgn0000356	3	2	3	2	0.9999999999999998	1.0	10
FBgn0000357	3	3	8	8	1.0	1.0	43
FBgn0000358	6	4	9	5	0.4239501953124998	1.0	23
FBgn0000359	3	0	0	0	1.0	1.0	12
FBgn0000360	2	0	0	0	1.0	1.0	24
FBgn0000363	43	0	0	0	1.0	1.0	0
FBgn0000370	4	2	0	3	0.25000000000000006	1.0	711
FBgn0000376	4	0	0	0	1.0	1.0	7
FBgn0000377	13	5	3	14	0.007537841796874997	0.4922206038135594	39
FBgn0000382	36	9	5	1	0.21875	1.0	60
FBgn0000384	0	0	0	0	1.0	1.0	30
FBgn0000392	15	0	0	0	1.0	1.0	19
FBgn0000394	3	0	0	0	1.0	1.0	5
FBgn0000395	36	12	41	39	0.9110721212260924	1.0	241
FBgn0000404	17	2	2	3	0.9999999999999998	1.0	16
FBgn0000405	1	0	0	0	1.0	1.0	32
FBgn0000406	0	0	0	0	1.0	1.0	25
FBgn0000409	3	2	11	5	0.21011352539062506	1.0	1046
FBgn0000411	11	2	2	0	0.5	1.0	5
FBgn0000412	0	0	0	0	1.0	1.0	74
FBgn0000413	4	0	0	0	1.0	1.0	162
FBgn0000414	31	0	0	0	1.0	1.0	0
FBgn0000416	3	3	23	33	0.22880554123435592	1.0	725
FBgn0000422	2	0	0	0	1.0	1.0	15
FBgn0000426	0	0	0	0	1.0	1.0	110
FBgn0000427	5	0	0	0	1.0	1.0	1
FBgn0000439	5	0	0	0	1.0	1.0	2
FBgn0000442	19	1	1	0	1.0	1.0	6
FBgn0000447	1	1	1	5	0.21875	1.0	78
FBgn0000448	42	0	0	0	1.0	1.0	4
FBgn0000449	23	1	2	0	0.5	1.0	0
FBgn0000451	18	0	0	0	1.0	1.0	1
FBgn0000454	5	0	0	0	1.0	1.0	654
FBgn0000455	0	0	0	0	1.0	1.0	279
FBgn0000459	12	2	2	0	0.5	1.0	8
FBgn0000463	7	2	2	0	0.5	1.0	20
FBgn0000464	6	0	0	0	1.0	1.0	3
FBgn0000472	2	2	17	12	0.45825831964612	1.0	896
FBgn0000473	3	2	16	0	3.0517578125000014E-5	0.007090091705322269	56
FBgn0000477	0	0	0	0	1.0	1.0	42
FBgn0000479	21	3	10	6	0.4544982910156253	1.0	98
FBgn0000482	5	0	0	0	1.0	1.0	33
FBgn0000489	15	5	8	8	1.0	1.0	37
FBgn0000490	16	1	1	0	1.0	1.0	35
FBgn0000492	0	0	0	0	1.0	1.0	4
