gene	all_snps	covered_snps	line_217	line_386	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	40	0	0	0	1.0	1.0	2
FBgn0000014	20	0	0	0	1.0	1.0	1
FBgn0000015	25	0	0	0	1.0	1.0	0
FBgn0000017	27	1	0	2	0.5	1.0	93
FBgn0000018	12	4	9	9	1.0	1.0	42
FBgn0000022	1	0	0	0	1.0	1.0	0
FBgn0000024	0	0	0	0	1.0	1.0	24
FBgn0000028	1	0	0	0	1.0	1.0	0
FBgn0000032	1	0	0	0	1.0	1.0	49
FBgn0000036	15	0	0	0	1.0	1.0	0
FBgn0000037	6	0	0	0	1.0	1.0	0
FBgn0000038	8	0	0	0	1.0	1.0	0
FBgn0000039	23	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	7912
FBgn0000043	2	1	42	54	0.261469436286388	1.0	653
FBgn0000044	27	4	50	63	0.25886200016531535	1.0	301
FBgn0000045	0	0	0	0	1.0	1.0	22
FBgn0000046	8	2	3	17	0.002576828002929689	0.2038024232742635	164
FBgn0000047	2	0	0	0	1.0	1.0	4
FBgn0000052	51	7	2	2	1.0	1.0	36
FBgn0000053	46	4	4	0	0.125	1.0	14
FBgn0000054	3	2	6	4	0.7539062500000002	1.0	68
FBgn0000055	10	0	0	0	1.0	1.0	1
FBgn0000056	6	0	0	0	1.0	1.0	0
FBgn0000057	6	1	0	2	0.5	1.0	29
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	6	0	0	0	1.0	1.0	5
FBgn0000064	8	3	98	102	0.8320703744377606	1.0	1611
FBgn0000071	3	0	0	0	1.0	1.0	1
FBgn0000075	12	0	0	0	1.0	1.0	0
FBgn0000077	0	0	0	0	1.0	1.0	81
FBgn0000078	8	2	194	8	1.938180697841245E-47	3.602351099525184E-44	3911
FBgn0000079	1	1	95	264	1.5569964687241983E-19	1.3618223819682415E-16	7275
FBgn0000083	12	7	61	95	0.008032780505172074	0.4021529068397427	496
FBgn0000084	0	0	0	0	1.0	1.0	23
FBgn0000092	9	2	1	0	1.0	1.0	3
FBgn0000094	5	0	0	0	1.0	1.0	2
FBgn0000097	19	8	25	12	0.047031027439515996	1.0	202
FBgn0000099	13	0	0	0	1.0	1.0	7
FBgn0000100	1	1	3	7	0.3437500000000002	1.0	2922
FBgn0000108	7	0	0	0	1.0	1.0	4
FBgn0000109	6	5	24	36	0.15500190400326042	1.0	150
FBgn0000114	21	1	1	1	1.0	1.0	7
FBgn0000115	0	0	0	0	1.0	1.0	166
FBgn0000116	19	10	114	144	0.07079618753065374	1.0	2552
FBgn0000117	0	0	0	0	1.0	1.0	192
FBgn0000119	62	5	2	8	0.10937499999999992	1.0	27
FBgn0000120	1	0	0	0	1.0	1.0	4
FBgn0000121	9	0	0	0	1.0	1.0	0
FBgn0000137	8	0	0	0	1.0	1.0	0
FBgn0000139	24	6	24	10	0.024306510109454345	0.8385464009686233	105
FBgn0000140	2	0	0	0	1.0	1.0	1
FBgn0000142	35	5	9	3	0.14599609374999983	1.0	31
FBgn0000146	10	0	0	0	1.0	1.0	0
FBgn0000147	4	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	1015
FBgn0000152	18	6	1	0	1.0	1.0	6
FBgn0000153	17	0	0	0	1.0	1.0	0
FBgn0000157	10	0	0	0	1.0	1.0	0
