gene	all_snps	covered_snps	line_535	line_738	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	39	0	0	0	1.0	1.0	2
FBgn0000014	16	0	0	0	1.0	1.0	5
FBgn0000015	17	0	0	0	1.0	1.0	1
FBgn0000017	8	2	25	36	0.200031368513103	1.0	202
FBgn0000018	6	1	4	5	1.0	1.0	79
FBgn0000022	2	0	0	0	1.0	1.0	0
FBgn0000024	6	2	6	7	0.9999999999999996	1.0	59
FBgn0000028	9	0	0	0	1.0	1.0	0
FBgn0000032	0	0	0	0	1.0	1.0	104
FBgn0000036	10	0	0	0	1.0	1.0	2
FBgn0000037	12	0	0	0	1.0	1.0	0
FBgn0000038	10	1	0	1	1.0	1.0	2
FBgn0000039	5	0	0	0	1.0	1.0	0
FBgn0000042	3	3	475	587	6.520846107867049E-4	0.06232808638861594	11239
FBgn0000043	0	0	0	0	1.0	1.0	932
FBgn0000044	5	0	0	0	1.0	1.0	725
FBgn0000045	0	0	0	0	1.0	1.0	56
FBgn0000046	0	0	0	0	1.0	1.0	460
FBgn0000047	1	0	0	0	1.0	1.0	3
FBgn0000052	4	0	0	0	1.0	1.0	28
FBgn0000053	40	10	1	2	1.0	1.0	35
FBgn0000054	0	0	0	0	1.0	1.0	137
FBgn0000055	3	0	0	0	1.0	1.0	0
FBgn0000056	2	0	0	0	1.0	1.0	0
FBgn0000057	9	5	5	1	0.21875	1.0	48
FBgn0000061	4	0	0	0	1.0	1.0	0
FBgn0000063	3	1	0	1	1.0	1.0	5
FBgn0000064	11	6	125	119	0.7489733086277895	1.0	1484
FBgn0000071	0	0	0	0	1.0	1.0	0
FBgn0000075	17	2	2	1	0.6250000000000002	1.0	4
FBgn0000077	5	3	3	8	0.2265625	1.0	103
FBgn0000078	3	3	2	1	0.6250000000000002	1.0	251
FBgn0000079	2	2	105	131	0.10345923511249461	1.0	2611
FBgn0000083	8	5	75	75	1.0	1.0	787
FBgn0000084	0	0	0	0	1.0	1.0	56
FBgn0000092	7	1	0	2	0.5	1.0	3
FBgn0000094	1	0	0	0	1.0	1.0	0
FBgn0000097	16	4	19	16	0.7358788008568807	1.0	352
FBgn0000099	8	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	3049
FBgn0000108	0	0	0	0	1.0	1.0	16
FBgn0000109	9	8	34	22	0.1408954235984805	1.0	168
FBgn0000114	9	0	0	0	1.0	1.0	2
FBgn0000115	0	0	0	0	1.0	1.0	203
FBgn0000116	10	1	2	2	1.0	1.0	2845
FBgn0000117	4	0	0	0	1.0	1.0	310
FBgn0000119	65	2	2	8	0.10937499999999992	1.0	56
FBgn0000120	1	0	0	0	1.0	1.0	1
FBgn0000121	13	1	0	1	1.0	1.0	4
FBgn0000137	0	0	0	0	1.0	1.0	0
FBgn0000139	23	7	27	34	0.4426260049464713	1.0	185
FBgn0000140	1	0	0	0	1.0	1.0	2
FBgn0000142	25	5	3	3	1.0	1.0	40
FBgn0000146	1	1	1	0	1.0	1.0	7
FBgn0000147	7	2	0	2	0.5	1.0	3
FBgn0000150	2	2	23	18	0.5327092552361133	1.0	950
FBgn0000152	26	1	0	3	0.25000000000000006	1.0	31
FBgn0000153	3	0	0	0	1.0	1.0	2
FBgn0000157	3	0	0	0	1.0	1.0	0
FBgn0000158	0	0	0	0	1.0	1.0	0
FBgn0000163	15	8	14	16	0.8555355519056322	1.0	73
FBgn0000166	0	0	0	0	1.0	1.0	0
FBgn0000171	2	0	0	0	1.0	1.0	23
FBgn0000173	3	2	17	22	0.4295905078433861	1.0	454
FBgn0000179	12	0	0	0	1.0	1.0	2
