gene	all_snps	covered_snps	line_313	line_707	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	33	2	2	0	0.5	1.0	4
FBgn0000014	10	0	0	0	1.0	1.0	6
FBgn0000015	19	0	0	0	1.0	1.0	0
FBgn0000017	10	1	7	15	0.09313964843749997	1.0	68
FBgn0000018	13	2	6	7	0.9999999999999996	1.0	47
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	11	1	2	2	1.0	1.0	35
FBgn0000028	4	0	0	0	1.0	1.0	0
FBgn0000032	11	5	6	12	0.2378845214843754	1.0	59
FBgn0000036	13	0	0	0	1.0	1.0	0
FBgn0000037	10	0	0	0	1.0	1.0	0
FBgn0000038	17	0	0	0	1.0	1.0	1
FBgn0000039	22	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	4562
FBgn0000043	0	0	0	0	1.0	1.0	300
FBgn0000044	28	2	0	2	0.5	1.0	198
FBgn0000045	2	0	0	0	1.0	1.0	16
FBgn0000046	16	8	25	15	0.1538599441628318	1.0	124
FBgn0000047	2	0	0	0	1.0	1.0	2
FBgn0000052	26	2	1	1	1.0	1.0	22
FBgn0000053	55	6	0	2	0.5	1.0	7
FBgn0000054	1	0	0	0	1.0	1.0	68
FBgn0000055	12	0	0	0	1.0	1.0	0
FBgn0000056	8	0	0	0	1.0	1.0	0
FBgn0000057	8	0	0	0	1.0	1.0	20
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	12	0	0	0	1.0	1.0	0
FBgn0000064	7	1	13	5	0.0962524414062501	1.0	681
FBgn0000071	2	0	0	0	1.0	1.0	0
FBgn0000075	18	1	0	1	1.0	1.0	3
FBgn0000077	7	2	5	4	1.0	1.0	46
FBgn0000078	8	0	0	0	1.0	1.0	741
FBgn0000079	3	2	154	113	0.01421421738606678	0.6906901905667547	3008
FBgn0000083	13	8	51	45	0.610068266105177	1.0	305
FBgn0000084	0	0	0	0	1.0	1.0	29
FBgn0000092	7	0	0	0	1.0	1.0	0
FBgn0000094	0	0	0	0	1.0	1.0	0
FBgn0000097	32	13	22	26	0.6654658120766189	1.0	206
FBgn0000099	17	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	1499
FBgn0000108	7	0	0	0	1.0	1.0	2
FBgn0000109	5	4	6	6	1.0	1.0	77
FBgn0000114	28	3	2	0	0.5	1.0	3
FBgn0000115	3	2	9	8	0.9999999999999999	1.0	118
FBgn0000116	3	0	0	0	1.0	1.0	1308
FBgn0000117	0	0	0	0	1.0	1.0	149
FBgn0000119	55	2	1	1	1.0	1.0	16
FBgn0000120	2	0	0	0	1.0	1.0	4
FBgn0000121	12	0	0	0	1.0	1.0	2
FBgn0000137	4	0	0	0	1.0	1.0	0
FBgn0000139	32	10	18	20	0.8714146793645343	1.0	91
FBgn0000140	5	0	0	0	1.0	1.0	1
FBgn0000142	37	6	7	3	0.3437500000000002	1.0	23
FBgn0000146	11	0	0	0	1.0	1.0	0
FBgn0000147	11	4	2	5	0.45312499999999994	1.0	11
FBgn0000150	0	0	0	0	1.0	1.0	729
FBgn0000152	11	3	1	1	1.0	1.0	11
FBgn0000153	17	0	0	0	1.0	1.0	0
FBgn0000157	1	0	0	0	1.0	1.0	0
FBgn0000158	3	0	0	0	1.0	1.0	0
FBgn0000163	21	6	9	3	0.14599609374999983	1.0	43
FBgn0000166	3	0	0	0	1.0	1.0	3
FBgn0000171	2	1	0	2	0.5	1.0	19
FBgn0000173	0	0	0	0	1.0	1.0	250
FBgn0000179	12	0	0	0	1.0	1.0	2
FBgn0000180	29	0	0	0	1.0	1.0	1
FBgn0000181	12	8	40	35	0.6444639138942261	1.0	537
FBgn0000182	23	0	0	0	1.0	1.0	7
FBgn0000183	7	1	5	4	1.0	1.0	63
FBgn0000206	15	0	0	0	1.0	1.0	0
FBgn0000210	37	0	0	0	1.0	1.0	0
FBgn0000212	14	5	0	2	0.5	1.0	41
FBgn0000216	1	0	0	0	1.0	1.0	0
FBgn0000221	13	2	2	0	0.5	1.0	23
FBgn0000227	24	0	0	0	1.0	1.0	0
FBgn0000228	43	4	2	0	0.5	1.0	35
FBgn0000229	27	6	18	23	0.5327092552361133	1.0	233
FBgn0000233	7	0	0	0	1.0	1.0	0
FBgn0000239	5	1	1	5	0.21875	1.0	48
FBgn0000241	18	1	1	0	1.0	1.0	1
FBgn0000242	10	0	0	0	1.0	1.0	0
FBgn0000244	24	6	7	6	0.9999999999999996	1.0	99
FBgn0000246	22	4	0	3	0.25000000000000006	1.0	10
FBgn0000247	39	1	2	2	1.0	1.0	19
FBgn0000250	6	1	0	4	0.125	1.0	275
FBgn0000251	3	2	20	6	0.009355306625366207	0.5021807011284121	170
