gene	all_snps	covered_snps	line_313	line_707	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	33	0	0	0	1.0	1.0	0
FBgn0000014	10	1	2	0	0.5	1.0	3
FBgn0000015	19	0	0	0	1.0	1.0	1
FBgn0000017	10	1	1	6	0.12500000000000006	1.0	31
FBgn0000018	13	2	2	2	1.0	1.0	35
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	11	2	2	8	0.10937499999999992	1.0	99
FBgn0000028	4	0	0	0	1.0	1.0	0
FBgn0000032	11	5	2	11	0.022460937500000007	0.95693891027937	46
FBgn0000036	13	0	0	0	1.0	1.0	0
FBgn0000037	10	0	0	0	1.0	1.0	0
FBgn0000038	17	0	0	0	1.0	1.0	0
FBgn0000039	22	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	2658
FBgn0000043	0	0	0	0	1.0	1.0	245
FBgn0000044	28	0	0	0	1.0	1.0	353
FBgn0000045	2	0	0	0	1.0	1.0	15
FBgn0000046	16	6	28	37	0.3210841356849951	1.0	210
FBgn0000047	2	0	0	0	1.0	1.0	0
FBgn0000052	26	1	2	1	0.6250000000000002	1.0	20
FBgn0000053	55	1	1	0	1.0	1.0	12
FBgn0000054	1	0	0	0	1.0	1.0	37
FBgn0000055	12	0	0	0	1.0	1.0	0
FBgn0000056	8	0	0	0	1.0	1.0	0
FBgn0000057	8	1	0	3	0.25000000000000006	1.0	39
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	12	0	0	0	1.0	1.0	2
FBgn0000064	7	1	21	11	0.11018416518345489	1.0	1197
FBgn0000071	2	0	0	0	1.0	1.0	1
FBgn0000075	18	0	0	0	1.0	1.0	0
FBgn0000077	7	3	5	6	0.9999999999999998	1.0	49
FBgn0000078	8	0	0	0	1.0	1.0	2163
FBgn0000079	3	2	401	309	6.274351430333583E-4	0.07396384487922276	8144
FBgn0000083	13	8	43	26	0.05328936381651378	1.0	259
FBgn0000084	0	0	0	0	1.0	1.0	5
FBgn0000092	7	1	0	2	0.5	1.0	2
FBgn0000094	0	0	0	0	1.0	1.0	0
FBgn0000097	32	7	13	14	1.0	1.0	93
FBgn0000099	17	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	2498
FBgn0000108	7	2	1	1	1.0	1.0	8
FBgn0000109	5	4	7	4	0.5488281249999998	1.0	76
FBgn0000114	28	0	0	0	1.0	1.0	4
FBgn0000115	3	2	7	3	0.3437500000000002	1.0	136
FBgn0000116	3	0	0	0	1.0	1.0	1762
FBgn0000117	0	0	0	0	1.0	1.0	151
FBgn0000119	55	2	2	3	0.9999999999999998	1.0	22
FBgn0000120	2	0	0	0	1.0	1.0	14
FBgn0000121	12	1	4	0	0.125	1.0	9
FBgn0000137	4	0	0	0	1.0	1.0	0
FBgn0000139	32	10	33	22	0.14089542359848103	1.0	134
FBgn0000140	5	0	0	0	1.0	1.0	0
FBgn0000142	37	7	13	2	0.004180908203125004	0.2988746349628158	27
FBgn0000146	11	0	0	0	1.0	1.0	1
FBgn0000147	11	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	914
FBgn0000152	11	1	2	2	1.0	1.0	18
FBgn0000153	17	0	0	0	1.0	1.0	1
FBgn0000157	1	0	0	0	1.0	1.0	0
FBgn0000158	3	0	0	0	1.0	1.0	4
FBgn0000163	21	3	1	1	1.0	1.0	6
FBgn0000166	3	0	0	0	1.0	1.0	0
FBgn0000171	2	0	0	0	1.0	1.0	25
FBgn0000173	0	0	0	0	1.0	1.0	304
FBgn0000179	12	0	0	0	1.0	1.0	0
FBgn0000180	29	0	0	0	1.0	1.0	0
FBgn0000181	12	10	55	56	1.0	1.0	912
FBgn0000182	23	0	0	0	1.0	1.0	0
FBgn0000183	7	1	5	6	0.9999999999999998	1.0	65
FBgn0000206	15	0	0	0	1.0	1.0	0
FBgn0000210	37	0	0	0	1.0	1.0	0
FBgn0000212	14	4	1	3	0.6250000000000001	1.0	23
FBgn0000216	1	0	0	0	1.0	1.0	0
FBgn0000221	13	3	2	2	1.0	1.0	23
FBgn0000227	24	0	0	0	1.0	1.0	0
FBgn0000228	43	2	2	9	0.0654296875	1.0	37
FBgn0000229	27	6	6	12	0.2378845214843754	1.0	168
FBgn0000233	7	0	0	0	1.0	1.0	0
FBgn0000239	5	1	1	0	1.0	1.0	35
FBgn0000241	18	1	1	0	1.0	1.0	0
FBgn0000242	10	0	0	0	1.0	1.0	2
FBgn0000244	24	3	1	5	0.21875	1.0	83
FBgn0000246	22	0	0	0	1.0	1.0	5
FBgn0000247	39	1	1	3	0.6250000000000001	1.0	27
FBgn0000250	6	3	4	2	0.6875000000000004	1.0	157
FBgn0000251	3	2	2	5	0.45312499999999994	1.0	56
FBgn0000253	4	3	87	72	0.26682526360032166	1.0	1101
FBgn0000256	61	6	0	6	0.031250000000000014	1.0	56
FBgn0000257	14	3	6	7	0.9999999999999996	1.0	34
FBgn0000258	1	0	0	0	1.0	1.0	209
FBgn0000259	5	0	0	0	1.0	1.0	196
FBgn0000261	5	1	53	38	0.1417933745447471	1.0	498
FBgn0000273	37	7	4	0	0.125	1.0	7
FBgn0000274	3	0	0	0	1.0	1.0	0
FBgn0000276	17	0	0	0	1.0	1.0	0
FBgn0000277	7	0	0	0	1.0	1.0	2
FBgn0000278	5	0	0	0	1.0	1.0	0
FBgn0000279	7	0	0	0	1.0	1.0	0
FBgn0000280	4	0	0	0	1.0	1.0	0
FBgn0000281	5	0	0	0	1.0	1.0	0
FBgn0000283	6	1	0	2	0.5	1.0	22
FBgn0000286	20	1	2	0	0.5	1.0	37
FBgn0000287	30	0	0	0	1.0	1.0	0
FBgn0000289	25	9	3	3	1.0	1.0	71
FBgn0000299	13	0	0	0	1.0	1.0	0
FBgn0000303	27	0	0	0	1.0	1.0	2
FBgn0000307	10	0	0	0	1.0	1.0	6
FBgn0000308	3	0	0	0	1.0	1.0	714
FBgn0000313	13	0	0	0	1.0	1.0	0
FBgn0000316	0	0	0	0	1.0	1.0	0
FBgn0000317	48	0	0	0	1.0	1.0	4
FBgn0000318	2	2	58	46	0.2806903290341791	1.0	512
FBgn0000319	14	0	0	0	1.0	1.0	199
FBgn0000320	18	0	0	0	1.0	1.0	0
FBgn0000326	17	2	2	1	0.6250000000000002	1.0	58
FBgn0000330	7	2	1	1	1.0	1.0	6
FBgn0000337	7	1	0	1	1.0	1.0	1
FBgn0000338	39	7	27	35	0.37415171240479506	1.0	268
FBgn0000339	0	0	0	0	1.0	1.0	445
FBgn0000346	13	0	0	0	1.0	1.0	0
FBgn0000351	10	1	2	0	0.5	1.0	0
FBgn0000352	7	0	0	0	1.0	1.0	5
FBgn0000355	2	0	0	0	1.0	1.0	4
FBgn0000356	2	1	2	0	0.5	1.0	5
FBgn0000357	2	0	0	0	1.0	1.0	1
FBgn0000358	3	0	0	0	1.0	1.0	3
FBgn0000359	0	0	0	0	1.0	1.0	0
FBgn0000360	6	0	0	0	1.0	1.0	3
FBgn0000363	48	0	0	0	1.0	1.0	0
FBgn0000370	6	4	29	33	0.7035366713552734	1.0	710
FBgn0000376	2	0	0	0	1.0	1.0	7
FBgn0000377	11	5	3	10	0.05737304687499999	1.0	29
FBgn0000382	0	0	0	0	1.0	1.0	37
FBgn0000384	0	0	0	0	1.0	1.0	9
FBgn0000392	11	1	2	0	0.5	1.0	25
FBgn0000394	3	0	0	0	1.0	1.0	6
FBgn0000395	20	3	4	1	0.3749999999999999	1.0	14
FBgn0000404	0	0	0	0	1.0	1.0	3
FBgn0000405	1	0	0	0	1.0	1.0	7
FBgn0000406	5	2	3	3	1.0	1.0	55
FBgn0000409	3	1	49	53	0.7666042612518517	1.0	819
FBgn0000411	4	0	0	0	1.0	1.0	0
FBgn0000412	0	0	0	0	1.0	1.0	99
FBgn0000413	6	1	0	2	0.5	1.0	64
FBgn0000414	7	0	0	0	1.0	1.0	0
