gene	all_snps	covered_snps	line_721	line_890	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	34	0	0	0	1.0	1.0	4
FBgn0000014	17	0	0	0	1.0	1.0	5
FBgn0000015	20	0	0	0	1.0	1.0	2
FBgn0000017	8	1	0	1	1.0	1.0	45
FBgn0000018	11	0	0	0	1.0	1.0	19
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	17	0	0	0	1.0	1.0	29
FBgn0000028	2	0	0	0	1.0	1.0	0
FBgn0000032	7	3	4	2	0.6875000000000004	1.0	59
FBgn0000036	9	0	0	0	1.0	1.0	0
FBgn0000037	10	0	0	0	1.0	1.0	0
FBgn0000038	23	0	0	0	1.0	1.0	0
FBgn0000039	15	0	0	0	1.0	1.0	0
FBgn0000042	8	7	84	53	0.010114170021824315	0.587451539275413	4309
FBgn0000043	1	1	33	27	0.5189580031896516	1.0	314
FBgn0000044	14	0	0	0	1.0	1.0	330
FBgn0000045	0	0	0	0	1.0	1.0	9
FBgn0000046	2	0	0	0	1.0	1.0	209
FBgn0000047	6	0	0	0	1.0	1.0	2
FBgn0000052	17	2	1	1	1.0	1.0	8
FBgn0000053	15	8	2	1	0.6250000000000002	1.0	15
FBgn0000054	3	1	0	2	0.5	1.0	46
FBgn0000055	6	0	0	0	1.0	1.0	0
FBgn0000056	4	0	0	0	1.0	1.0	0
FBgn0000057	2	0	0	0	1.0	1.0	24
FBgn0000061	0	0	0	0	1.0	1.0	0
FBgn0000063	7	1	0	1	1.0	1.0	4
FBgn0000064	11	8	51	81	0.011314622514903809	0.6245379704301075	853
FBgn0000071	1	0	0	0	1.0	1.0	1
FBgn0000075	16	0	0	0	1.0	1.0	0
FBgn0000077	1	0	0	0	1.0	1.0	40
FBgn0000078	9	1	0	259	2.159042138773612E-78	8.02569939035621E-75	847
FBgn0000079	2	1	99	197	1.278721627486733E-8	5.1387329402973595E-6	3091
FBgn0000083	9	2	5	5	1.0	1.0	411
FBgn0000084	0	0	0	0	1.0	1.0	15
FBgn0000092	6	0	0	0	1.0	1.0	0
FBgn0000094	4	0	0	0	1.0	1.0	0
FBgn0000097	14	6	7	5	0.7744140625000001	1.0	153
FBgn0000099	10	1	1	0	1.0	1.0	1
FBgn0000100	0	0	0	0	1.0	1.0	1797
FBgn0000108	12	0	0	0	1.0	1.0	5
FBgn0000109	11	8	9	14	0.4048728942871096	1.0	47
FBgn0000114	12	0	0	0	1.0	1.0	12
FBgn0000115	2	1	1	9	0.021484375000000003	0.8998624559859157	104
FBgn0000116	13	6	76	50	0.025543364029782932	1.0	1503
FBgn0000117	0	0	0	0	1.0	1.0	135
FBgn0000119	47	3	1	3	0.6250000000000001	1.0	13
FBgn0000120	6	0	0	0	1.0	1.0	0
FBgn0000121	20	0	0	0	1.0	1.0	0
FBgn0000137	0	0	0	0	1.0	1.0	1
FBgn0000139	25	8	17	19	0.8679394004284404	1.0	79
FBgn0000140	1	0	0	0	1.0	1.0	1
FBgn0000142	37	3	0	3	0.25000000000000006	1.0	13
FBgn0000146	10	0	0	0	1.0	1.0	0
FBgn0000147	1	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	547
FBgn0000152	15	1	0	1	1.0	1.0	22
FBgn0000153	1	0	0	0	1.0	1.0	0
FBgn0000157	4	0	0	0	1.0	1.0	0
FBgn0000158	2	0	0	0	1.0	1.0	0
FBgn0000163	30	3	2	4	0.6875000000000004	1.0	20
FBgn0000166	0	0	0	0	1.0	1.0	0
FBgn0000171	5	3	2	1	0.6250000000000002	1.0	35
FBgn0000173	1	0	0	0	1.0	1.0	180
FBgn0000179	22	0	0	0	1.0	1.0	0
FBgn0000180	23	3	1	1	1.0	1.0	4
FBgn0000181	14	10	45	48	0.8358461346314849	1.0	633
FBgn0000182	16	0	0	0	1.0	1.0	1
FBgn0000183	10	2	3	6	0.5078125000000004	1.0	67
FBgn0000206	10	0	0	0	1.0	1.0	0
FBgn0000210	5	0	0	0	1.0	1.0	0
FBgn0000212	11	0	0	0	1.0	1.0	33
FBgn0000216	1	0	0	0	1.0	1.0	0
FBgn0000221	7	3	3	3	1.0	1.0	10
FBgn0000227	0	0	0	0	1.0	1.0	0
FBgn0000228	27	0	0	0	1.0	1.0	33
FBgn0000229	21	4	1	13	0.0018310546874999983	0.17452533428485562	165
FBgn0000233	11	0	0	0	1.0	1.0	0
FBgn0000239	4	0	0	0	1.0	1.0	22
FBgn0000241	9	1	0	2	0.5	1.0	2
FBgn0000242	5	0	0	0	1.0	1.0	0
FBgn0000244	34	2	5	7	0.7744140625000001	1.0	87
FBgn0000246	30	1	0	1	1.0	1.0	5
FBgn0000247	47	2	1	4	0.3749999999999999	1.0	20
FBgn0000250	6	3	9	12	0.6636238098144532	1.0	228
FBgn0000251	8	6	7	7	1.0	1.0	74
FBgn0000253	5	4	103	90	0.38776287826420297	1.0	1278
FBgn0000256	51	5	18	18	1.0	1.0	160
FBgn0000257	14	3	4	9	0.2668457031250001	1.0	41
FBgn0000258	0	0	0	0	1.0	1.0	230
FBgn0000259	2	1	2	0	0.5	1.0	161
FBgn0000261	5	3	28	34	0.5257733601756501	1.0	205
FBgn0000273	33	6	1	2	1.0	1.0	13
FBgn0000274	2	0	0	0	1.0	1.0	0
FBgn0000276	8	1	1	0	1.0	1.0	2
FBgn0000277	13	2	1	0	1.0	1.0	1
FBgn0000278	10	0	0	0	1.0	1.0	0
FBgn0000279	6	0	0	0	1.0	1.0	0
FBgn0000280	2	0	0	0	1.0	1.0	0
FBgn0000281	6	0	0	0	1.0	1.0	0
FBgn0000283	8	1	1	0	1.0	1.0	31
FBgn0000286	15	5	4	3	1.0	1.0	49
FBgn0000287	34	0	0	0	1.0	1.0	0
FBgn0000289	23	5	2	5	0.45312499999999994	1.0	76
FBgn0000299	2	0	0	0	1.0	1.0	3
FBgn0000303	19	0	0	0	1.0	1.0	0
FBgn0000307	32	0	0	0	1.0	1.0	11
FBgn0000308	1	0	0	0	1.0	1.0	774
FBgn0000313	16	0	0	0	1.0	1.0	0
FBgn0000316	0	0	0	0	1.0	1.0	1
FBgn0000317	37	3	0	2	0.5	1.0	5
FBgn0000318	4	4	35	38	0.8151212352249975	1.0	401
FBgn0000319	15	0	0	0	1.0	1.0	296
FBgn0000320	16	0	0	0	1.0	1.0	0
FBgn0000326	6	1	1	0	1.0	1.0	32
FBgn0000330	10	1	1	0	1.0	1.0	7
FBgn0000337	15	0	0	0	1.0	1.0	0
FBgn0000338	27	8	47	65	0.10778227965475402	1.0	403
FBgn0000339	4	4	35	26	0.30567741986311825	1.0	242
FBgn0000346	8	0	0	0	1.0	1.0	0
FBgn0000351	4	0	0	0	1.0	1.0	2
FBgn0000352	10	0	0	0	1.0	1.0	2
FBgn0000355	2	1	0	1	1.0	1.0	3
FBgn0000356	3	0	0	0	1.0	1.0	1
FBgn0000357	4	0	0	0	1.0	1.0	1
FBgn0000358	5	0	0	0	1.0	1.0	0
FBgn0000359	3	0	0	0	1.0	1.0	0
FBgn0000360	4	0	0	0	1.0	1.0	2
FBgn0000363	53	0	0	0	1.0	1.0	0
FBgn0000370	8	4	19	47	7.561070639613901E-4	0.08838006691832002	471
FBgn0000376	7	0	0	0	1.0	1.0	13
FBgn0000377	2	1	0	2	0.5	1.0	42
FBgn0000382	27	9	0	4	0.125	1.0	55
FBgn0000384	0	0	0	0	1.0	1.0	19
FBgn0000392	7	0	0	0	1.0	1.0	21
FBgn0000394	4	0	0	0	1.0	1.0	9
FBgn0000395	29	7	22	21	1.0	1.0	126
FBgn0000404	13	0	0	0	1.0	1.0	0
FBgn0000405	21	0	0	0	1.0	1.0	3
FBgn0000406	0	0	0	0	1.0	1.0	6
FBgn0000409	4	4	41	58	0.10735158653318887	1.0	690
FBgn0000411	10	0	0	0	1.0	1.0	4
FBgn0000412	3	3	8	9	0.9999999999999999	1.0	58
FBgn0000413	2	0	0	0	1.0	1.0	88
FBgn0000414	34	0	0	0	1.0	1.0	0
FBgn0000416	17	8	39	86	3.1776103912787516E-5	0.006520403652079749	628
FBgn0000422	3	0	0	0	1.0	1.0	20
FBgn0000426	0	0	0	0	1.0	1.0	41
FBgn0000427	9	0	0	0	1.0	1.0	0
FBgn0000439	0	0	0	0	1.0	1.0	0
FBgn0000442	9	0	0	0	1.0	1.0	18
FBgn0000447	3	1	1	3	0.6250000000000001	1.0	92
FBgn0000448	52	3	1	0	1.0	1.0	1
FBgn0000449	25	2	3	2	0.9999999999999998	1.0	0
FBgn0000451	15	0	0	0	1.0	1.0	13
FBgn0000454	3	0	0	0	1.0	1.0	441
FBgn0000455	1	1	4	3	1.0	1.0	236
FBgn0000459	10	0	0	0	1.0	1.0	5
FBgn0000463	32	0	0	0	1.0	1.0	13
FBgn0000464	25	0	0	0	1.0	1.0	1
FBgn0000472	1	0	0	0	1.0	1.0	324
FBgn0000473	7	1	0	11	9.765624999999999E-4	0.1029823249113475	94
FBgn0000477	9	0	0	0	1.0	1.0	16
FBgn0000479	19	4	2	8	0.10937499999999992	1.0	60
FBgn0000482	4	0	0	0	1.0	1.0	17
FBgn0000489	6	1	0	2	0.5	1.0	43
FBgn0000490	17	3	7	3	0.3437500000000002	1.0	29
FBgn0000492	5	0	0	0	1.0	1.0	1
FBgn0000497	46	0	0	0	1.0	1.0	1
FBgn0000499	24	6	0	3	0.25000000000000006	1.0	7
FBgn0000500	0	0	0	0	1.0	1.0	1
FBgn0000504	9	0	0	0	1.0	1.0	18
FBgn0000520	9	3	2	5	0.45312499999999994	1.0	13
FBgn0000524	18	0	0	0	1.0	1.0	10
FBgn0000527	9	0	0	0	1.0	1.0	0
FBgn0000529	15	0	0	0	1.0	1.0	0
FBgn0000533	6	1	2	3	0.9999999999999998	1.0	13
FBgn0000535	4	0	0	0	1.0	1.0	0
FBgn0000536	6	2	14	0	1.2207031250000005E-4	0.01910593133223685	121
FBgn0000541	3	0	0	0	1.0	1.0	39
FBgn0000542	61	1	1	0	1.0	1.0	2
FBgn0000543	15	0	0	0	1.0	1.0	28
FBgn0000546	14	1	3	2	0.9999999999999998	1.0	17
FBgn0000547	41	3	2	3	0.9999999999999998	1.0	14
FBgn0000551	1	0	0	0	1.0	1.0	0
FBgn0000552	0	0	0	0	1.0	1.0	0
FBgn0000556	0	0	0	0	1.0	1.0	5477
FBgn0000557	2	0	0	0	1.0	1.0	2
FBgn0000559	3	1	2	1	0.6250000000000002	1.0	1807
FBgn0000560	2	0	0	0	1.0	1.0	0
FBgn0000562	7	0	0	0	1.0	1.0	75
FBgn0000564	4	0	0	0	1.0	1.0	0
FBgn0000565	4	1	10	11	0.8318119049072267	1.0	158
FBgn0000566	8	7	43	37	0.5764306261883928	1.0	170
FBgn0000567	31	4	3	0	0.25000000000000006	1.0	37
FBgn0000568	23	0	0	0	1.0	1.0	318
FBgn0000575	10	7	15	20	0.49955983320251096	1.0	164
FBgn0000576	16	0	0	0	1.0	1.0	0
FBgn0000577	19	0	0	0	1.0	1.0	0
FBgn0000578	49	0	0	0	1.0	1.0	9
FBgn0000579	40	6	16	13	0.7110711038112639	1.0	395
FBgn0000581	26	0	0	0	1.0	1.0	38
FBgn0000588	20	2	2	0	0.5	1.0	2
FBgn0000591	2	0	0	0	1.0	1.0	0
FBgn0000592	1	1	0	1	1.0	1.0	18
FBgn0000594	0	0	0	0	1.0	1.0	0
FBgn0000606	6	0	0	0	1.0	1.0	0
FBgn0000611	6	2	1	8	0.03906250000000003	1.0	65
FBgn0000615	9	0	0	0	1.0	1.0	37
FBgn0000617	6	2	3	2	0.9999999999999998	1.0	12
FBgn0000618	0	0	0	0	1.0	1.0	6
FBgn0000625	12	0	0	0	1.0	1.0	0
FBgn0000629	32	2	6	8	0.7905273437499998	1.0	59
FBgn0000630	49	0	0	0	1.0	1.0	0
FBgn0000633	34	0	0	0	1.0	1.0	0
FBgn0000634	5	0	0	0	1.0	1.0	10
FBgn0000635	6	0	0	0	1.0	1.0	16
FBgn0000636	32	6	4	1	0.3749999999999999	1.0	21
FBgn0000639	20	0	0	0	1.0	1.0	0
FBgn0000640	8	0	0	0	1.0	1.0	0
FBgn0000644	43	2	0	1	1.0	1.0	2
FBgn0000658	18	0	0	0	1.0	1.0	0
FBgn0000659	34	14	19	26	0.37129803447100995	1.0	130
FBgn0000662	16	4	3	6	0.5078125000000004	1.0	69
FBgn0000667	2	0	0	0	1.0	1.0	55
FBgn0000709	14	0	0	0	1.0	1.0	14
FBgn0000711	0	0	0	0	1.0	1.0	124
FBgn0000715	3	0	0	0	1.0	1.0	0
FBgn0000719	0	0	0	0	1.0	1.0	21
FBgn0000721	73	6	3	4	1.0	1.0	75
FBgn0000723	2	0	0	0	1.0	1.0	41
FBgn0000808	15	0	0	0	1.0	1.0	0
FBgn0000810	8	3	2	7	0.17968750000000003	1.0	11
FBgn0000826	1	0	0	0	1.0	1.0	0
FBgn0000927	13	0	0	0	1.0	1.0	0
