gene	all_snps	covered_snps	line_535	line_738	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	39	0	0	0	1.0	1.0	3
FBgn0000014	16	0	0	0	1.0	1.0	4
FBgn0000015	17	0	0	0	1.0	1.0	6
FBgn0000017	8	1	18	14	0.5966148958541455	1.0	119
FBgn0000018	6	1	0	1	1.0	1.0	48
FBgn0000022	2	0	0	0	1.0	1.0	0
FBgn0000024	6	2	0	4	0.125	1.0	54
FBgn0000028	9	0	0	0	1.0	1.0	0
FBgn0000032	0	0	0	0	1.0	1.0	64
FBgn0000036	10	0	0	0	1.0	1.0	0
FBgn0000037	12	0	0	0	1.0	1.0	0
FBgn0000038	10	0	0	0	1.0	1.0	0
FBgn0000039	5	0	0	0	1.0	1.0	1
FBgn0000042	3	3	317	398	0.00274791223616993	0.22699281688672604	7356
FBgn0000043	0	0	0	0	1.0	1.0	613
FBgn0000044	5	0	0	0	1.0	1.0	544
FBgn0000045	0	0	0	0	1.0	1.0	34
FBgn0000046	0	0	0	0	1.0	1.0	261
FBgn0000047	1	0	0	0	1.0	1.0	0
FBgn0000052	4	0	0	0	1.0	1.0	33
FBgn0000053	40	9	3	1	0.6250000000000001	1.0	17
FBgn0000054	0	0	0	0	1.0	1.0	74
FBgn0000055	3	0	0	0	1.0	1.0	0
FBgn0000056	2	0	0	0	1.0	1.0	0
FBgn0000057	9	1	0	2	0.5	1.0	36
FBgn0000061	4	0	0	0	1.0	1.0	0
FBgn0000063	3	0	0	0	1.0	1.0	4
FBgn0000064	11	6	94	108	0.36039504199377476	1.0	1265
FBgn0000071	0	0	0	0	1.0	1.0	1
FBgn0000075	17	1	0	1	1.0	1.0	2
FBgn0000077	5	3	8	5	0.5810546874999996	1.0	68
FBgn0000078	3	2	3	0	0.25000000000000006	1.0	299
FBgn0000079	2	2	116	120	0.8452233668180922	1.0	2789
FBgn0000083	8	5	49	62	0.25460512309379413	1.0	553
FBgn0000084	0	0	0	0	1.0	1.0	31
FBgn0000092	7	1	0	1	1.0	1.0	1
