gene	all_snps	covered_snps	line_890	line_332	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	25	0	0	0	1.0	1.0	0
FBgn0000014	4	0	0	0	1.0	1.0	6
FBgn0000015	5	0	0	0	1.0	1.0	3
FBgn0000017	5	0	0	0	1.0	1.0	16
FBgn0000018	10	2	7	2	0.17968750000000003	1.0	25
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	0	0	0	0	1.0	1.0	23
FBgn0000028	1	0	0	0	1.0	1.0	0
FBgn0000032	8	2	0	4	0.125	1.0	30
FBgn0000036	4	0	0	0	1.0	1.0	0
FBgn0000037	10	0	0	0	1.0	1.0	0
FBgn0000038	2	0	0	0	1.0	1.0	0
FBgn0000039	8	0	0	0	1.0	1.0	0
FBgn0000042	8	4	49	28	0.02203345876482213	0.36776174090835134	2294
FBgn0000043	2	1	22	13	0.17546524899080396	1.0	194
FBgn0000044	26	6	104	42	2.993639282360291E-7	2.355154629069585E-5	325
FBgn0000045	0	0	0	0	1.0	1.0	23
FBgn0000046	16	8	34	16	0.015346677832630074	0.2826376216545013	156
FBgn0000047	3	0	0	0	1.0	1.0	0
FBgn0000052	10	2	2	0	0.5	1.0	11
FBgn0000053	55	0	0	0	1.0	1.0	2
FBgn0000054	4	1	2	1	0.6250000000000002	1.0	37
FBgn0000055	4	0	0	0	1.0	1.0	0
FBgn0000056	3	0	0	0	1.0	1.0	0
FBgn0000057	2	0	0	0	1.0	1.0	20
FBgn0000061	0	0	0	0	1.0	1.0	0
FBgn0000063	1	0	0	0	1.0	1.0	0
FBgn0000064	5	3	18	8	0.07551869750022892	0.8925973872264737	941
FBgn0000071	2	0	0	0	1.0	1.0	0
FBgn0000075	18	1	0	1	1.0	1.0	5
FBgn0000077	0	0	0	0	1.0	1.0	41
FBgn0000078	5	3	5	82	5.077541690652904E-19	1.5728743207982922E-16	1022
FBgn0000079	3	3	317	192	3.3313278343499387E-8	3.1957105528354344E-6	6440
FBgn0000083	9	4	11	4	0.11846923828125008	1.0	289
FBgn0000084	0	0	0	0	1.0	1.0	25
FBgn0000092	5	0	0	0	1.0	1.0	0
FBgn0000094	2	0	0	0	1.0	1.0	0
FBgn0000097	22	4	6	0	0.031250000000000014	0.4698243174924168	64
FBgn0000099	21	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	1683
FBgn0000108	12	0	0	0	1.0	1.0	8
FBgn0000109	5	5	9	4	0.2668457031250001	1.0	37
FBgn0000114	22	0	0	0	1.0	1.0	5
FBgn0000115	2	1	9	3	0.14599609374999983	1.0	113
FBgn0000116	11	8	95	71	0.0739190926121618	0.8757792733467998	1544
FBgn0000117	0	0	0	0	1.0	1.0	111
FBgn0000119	51	1	1	0	1.0	1.0	9
FBgn0000120	5	0	0	0	1.0	1.0	0
FBgn0000121	18	0	0	0	1.0	1.0	0
FBgn0000137	6	0	0	0	1.0	1.0	0
FBgn0000139	2	1	2	0	0.5	1.0	70
FBgn0000140	1	0	0	0	1.0	1.0	1
FBgn0000142	0	0	0	0	1.0	1.0	11
FBgn0000146	10	0	0	0	1.0	1.0	1
FBgn0000147	5	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	606
FBgn0000152	8	4	1	3	0.6250000000000001	1.0	15
FBgn0000153	6	0	0	0	1.0	1.0	0
FBgn0000157	7	0	0	0	1.0	1.0	0
FBgn0000158	2	0	0	0	1.0	1.0	0
FBgn0000163	10	0	0	0	1.0	1.0	12
FBgn0000166	2	0	0	0	1.0	1.0	2
FBgn0000171	1	0	0	0	1.0	1.0	9
FBgn0000173	1	0	0	0	1.0	1.0	208
FBgn0000179	10	0	0	0	1.0	1.0	0
FBgn0000180	17	0	0	0	1.0	1.0	0
FBgn0000181	14	10	52	32	0.03752953363441311	0.5470849368726358	642
FBgn0000182	12	0	0	0	1.0	1.0	0
