gene	all_snps	covered_snps	line_486	line_535	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	29	0	0	0	1.0	1.0	2
FBgn0000014	15	0	0	0	1.0	1.0	6
FBgn0000015	22	6	2	0	0.5	1.0	6
FBgn0000017	3	0	0	0	1.0	1.0	49
FBgn0000018	0	0	0	0	1.0	1.0	26
FBgn0000022	2	0	0	0	1.0	1.0	0
FBgn0000024	16	2	1	1	1.0	1.0	45
FBgn0000028	8	0	0	0	1.0	1.0	0
FBgn0000032	0	0	0	0	1.0	1.0	53
FBgn0000036	17	0	0	0	1.0	1.0	0
FBgn0000037	13	0	0	0	1.0	1.0	0
FBgn0000038	14	0	0	0	1.0	1.0	0
FBgn0000039	12	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	3157
FBgn0000043	0	0	0	0	1.0	1.0	320
FBgn0000044	18	2	2	2	1.0	1.0	321
FBgn0000045	0	0	0	0	1.0	1.0	4
FBgn0000046	16	2	19	16	0.7358788008568807	1.0	136
FBgn0000047	1	0	0	0	1.0	1.0	0
FBgn0000052	9	0	0	0	1.0	1.0	17
FBgn0000053	23	0	0	0	1.0	1.0	17
FBgn0000054	1	1	0	3	0.25000000000000006	1.0	41
FBgn0000055	1	0	0	0	1.0	1.0	0
FBgn0000056	1	0	0	0	1.0	1.0	0
FBgn0000057	3	2	3	1	0.6250000000000001	1.0	20
FBgn0000061	2	0	0	0	1.0	1.0	0
FBgn0000063	4	0	0	0	1.0	1.0	0
FBgn0000064	13	7	93	42	1.3469767191590346E-5	0.0018374492511170353	869
FBgn0000071	0	0	0	0	1.0	1.0	0
FBgn0000075	8	0	0	0	1.0	1.0	3
FBgn0000077	6	2	2	3	0.9999999999999998	1.0	35
FBgn0000078	4	4	5	3	0.7265625000000002	1.0	435
FBgn0000079	3	3	331	139	3.9756228053093795E-19	2.8302967991119087E-16	4229
FBgn0000083	8	2	20	8	0.035698138177394825	0.8254986260648268	380
FBgn0000084	0	0	0	0	1.0	1.0	30
FBgn0000092	8	1	1	0	1.0	1.0	1
FBgn0000094	3	0	0	0	1.0	1.0	0
FBgn0000097	16	2	1	4	0.3749999999999999	1.0	61
FBgn0000099	19	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	2529
FBgn0000108	7	0	0	0	1.0	1.0	6
FBgn0000109	9	7	19	6	0.014633297920227037	0.45614781294728685	77
FBgn0000114	16	0	0	0	1.0	1.0	2
FBgn0000115	0	0	0	0	1.0	1.0	117
FBgn0000116	9	0	0	0	1.0	1.0	2344
FBgn0000117	1	1	2	0	0.5	1.0	175
FBgn0000119	19	2	2	1	0.6250000000000002	1.0	14
FBgn0000120	1	0	0	0	1.0	1.0	2
FBgn0000121	14	0	0	0	1.0	1.0	0
FBgn0000137	5	0	0	0	1.0	1.0	0
FBgn0000139	14	10	36	18	0.01983432672806832	0.5553985011669451	110
FBgn0000140	2	0	0	0	1.0	1.0	0
FBgn0000142	22	1	0	2	0.5	1.0	14
FBgn0000146	6	0	0	0	1.0	1.0	1
FBgn0000147	0	0	0	0	1.0	1.0	0
FBgn0000150	2	2	27	11	0.013852965261321506	0.43918921209080913	861
FBgn0000152	20	1	3	1	0.6250000000000001	1.0	31
FBgn0000153	24	0	0	0	1.0	1.0	0
FBgn0000157	0	0	0	0	1.0	1.0	0
FBgn0000158	2	0	0	0	1.0	1.0	1
FBgn0000163	13	0	0	0	1.0	1.0	7
FBgn0000166	1	0	0	0	1.0	1.0	0
FBgn0000171	5	2	2	2	1.0	1.0	19
FBgn0000173	2	2	15	10	0.4243562221527099	1.0	220
FBgn0000179	13	0	0	0	1.0	1.0	0
FBgn0000180	7	1	1	0	1.0	1.0	1
FBgn0000181	10	6	75	44	0.005726861906884264	0.23653530470406142	1089
FBgn0000182	18	0	0	0	1.0	1.0	0
FBgn0000183	11	1	2	0	0.5	1.0	57
FBgn0000206	15	0	0	0	1.0	1.0	0
FBgn0000210	10	0	0	0	1.0	1.0	0
FBgn0000212	12	2	1	0	1.0	1.0	35
FBgn0000216	6	0	0	0	1.0	1.0	0
FBgn0000221	14	3	1	5	0.21875	1.0	15
FBgn0000227	2	0	0	0	1.0	1.0	0
FBgn0000228	12	2	0	1	1.0	1.0	18
FBgn0000229	27	2	1	3	0.6250000000000001	1.0	147
FBgn0000233	5	0	0	0	1.0	1.0	0
FBgn0000239	0	0	0	0	1.0	1.0	18
FBgn0000241	24	4	2	4	0.6875000000000004	1.0	0
FBgn0000242	11	1	1	0	1.0	1.0	4
FBgn0000244	32	11	15	15	1.0	1.0	93
FBgn0000246	15	0	0	0	1.0	1.0	8
FBgn0000247	29	1	2	0	0.5	1.0	10
FBgn0000250	4	0	0	0	1.0	1.0	161
FBgn0000251	13	1	1	0	1.0	1.0	74
FBgn0000253	3	2	11	24	0.04095959151163692	0.8969486983601316	1011
FBgn0000256	74	4	13	3	0.021270751953125007	0.5766266640342962	104
FBgn0000257	15	5	6	4	0.7539062500000002	1.0	23
FBgn0000258	0	0	0	0	1.0	1.0	185
FBgn0000259	9	2	3	3	1.0	1.0	109
FBgn0000261	4	1	25	20	0.5514843298025194	1.0	345
FBgn0000273	15	0	0	0	1.0	1.0	3
FBgn0000274	3	0	0	0	1.0	1.0	0
FBgn0000276	3	0	0	0	1.0	1.0	0
FBgn0000277	12	4	1	0	1.0	1.0	4
FBgn0000278	4	0	0	0	1.0	1.0	0
FBgn0000279	8	0	0	0	1.0	1.0	0
FBgn0000280	9	0	0	0	1.0	1.0	0
FBgn0000281	7	0	0	0	1.0	1.0	0
FBgn0000283	0	0	0	0	1.0	1.0	25
FBgn0000286	18	0	0	0	1.0	1.0	18
FBgn0000287	39	0	0	0	1.0	1.0	0
FBgn0000289	31	13	17	3	0.002576828002929689	0.1316043788775564	78
FBgn0000299	10	0	0	0	1.0	1.0	1
FBgn0000303	26	0	0	0	1.0	1.0	0
FBgn0000307	33	1	0	2	0.5	1.0	10
FBgn0000308	1	1	2	0	0.5	1.0	609
FBgn0000313	21	0	0	0	1.0	1.0	0
FBgn0000316	3	0	0	0	1.0	1.0	0
FBgn0000317	43	1	2	0	0.5	1.0	4
FBgn0000318	4	4	49	36	0.19276043534155854	1.0	405
FBgn0000319	12	0	0	0	1.0	1.0	206
FBgn0000320	8	0	0	0	1.0	1.0	0
FBgn0000326	12	11	35	16	0.01097356289972047	0.3812287541026721	75
FBgn0000330	11	0	0	0	1.0	1.0	4
FBgn0000337	10	0	0	0	1.0	1.0	0
FBgn0000338	32	13	74	36	3.7125120307886315E-4	0.028163949686630697	262
FBgn0000339	1	0	0	0	1.0	1.0	242
FBgn0000346	9	0	0	0	1.0	1.0	0
FBgn0000351	8	0	0	0	1.0	1.0	0
FBgn0000352	13	0	0	0	1.0	1.0	4
FBgn0000355	1	0	0	0	1.0	1.0	5
FBgn0000356	8	0	0	0	1.0	1.0	0
FBgn0000357	4	1	0	1	1.0	1.0	1
FBgn0000358	3	0	0	0	1.0	1.0	0
FBgn0000359	3	0	0	0	1.0	1.0	1
FBgn0000360	4	0	0	0	1.0	1.0	0
FBgn0000363	49	0	0	0	1.0	1.0	0
FBgn0000370	14	8	59	41	0.08862608011406758	1.0	673
FBgn0000376	1	0	0	0	1.0	1.0	8
FBgn0000377	10	6	13	4	0.049041748046875	1.0	34
FBgn0000382	12	0	0	0	1.0	1.0	44
FBgn0000384	0	0	0	0	1.0	1.0	8
FBgn0000392	2	0	0	0	1.0	1.0	11
FBgn0000394	3	0	0	0	1.0	1.0	11
FBgn0000395	20	1	0	3	0.25000000000000006	1.0	14
FBgn0000404	4	0	0	0	1.0	1.0	2
FBgn0000405	5	0	0	0	1.0	1.0	0
FBgn0000406	1	0	0	0	1.0	1.0	26
FBgn0000409	1	1	47	41	0.5250147872924269	1.0	733
FBgn0000411	3	0	0	0	1.0	1.0	7
FBgn0000412	2	2	3	1	0.6250000000000001	1.0	71
