gene	all_snps	covered_snps	line_208	line_313	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	44	2	1	0	1.0	1.0	2
FBgn0000014	8	0	0	0	1.0	1.0	5
FBgn0000015	16	0	0	0	1.0	1.0	0
FBgn0000017	10	0	0	0	1.0	1.0	108
FBgn0000018	11	1	3	4	1.0	1.0	40
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	8	1	0	1	1.0	1.0	36
FBgn0000028	6	0	0	0	1.0	1.0	0
FBgn0000032	14	3	5	5	1.0	1.0	50
FBgn0000036	12	0	0	0	1.0	1.0	0
FBgn0000037	13	0	0	0	1.0	1.0	0
FBgn0000038	26	0	0	0	1.0	1.0	0
FBgn0000039	11	0	0	0	1.0	1.0	0
FBgn0000042	5	0	0	0	1.0	1.0	9113
FBgn0000043	0	0	0	0	1.0	1.0	818
FBgn0000044	15	4	68	54	0.23908881247691466	1.0	385
FBgn0000045	2	0	0	0	1.0	1.0	25
FBgn0000046	6	4	11	6	0.33230590820312467	1.0	271
FBgn0000047	3	0	0	0	1.0	1.0	2
FBgn0000052	43	4	6	3	0.5078125000000004	1.0	21
FBgn0000053	52	11	2	9	0.0654296875	1.0	19
FBgn0000054	1	0	0	0	1.0	1.0	61
FBgn0000055	15	0	0	0	1.0	1.0	0
FBgn0000056	10	0	0	0	1.0	1.0	0
FBgn0000057	10	2	6	1	0.12500000000000006	1.0	35
FBgn0000061	3	1	1	0	1.0	1.0	1
FBgn0000063	9	0	0	0	1.0	1.0	3
FBgn0000064	8	5	59	46	0.2414317175651774	1.0	1306
FBgn0000071	2	0	0	0	1.0	1.0	0
FBgn0000075	20	3	0	1	1.0	1.0	1
FBgn0000077	8	2	3	1	0.6250000000000001	1.0	54
FBgn0000078	2	2	90	264	5.806394309004663E-21	4.316763849029517E-18	883
FBgn0000079	4	4	1042	2136	1.9696584229623243E-85	9.762283697008933E-82	9005
FBgn0000083	10	7	46	48	0.9179230673157427	1.0	615
FBgn0000084	0	0	0	0	1.0	1.0	58
FBgn0000092	4	0	0	0	1.0	1.0	1
FBgn0000094	5	0	0	0	1.0	1.0	0
FBgn0000097	19	12	34	38	0.7239481457469138	1.0	197
FBgn0000099	20	0	0	0	1.0	1.0	1
FBgn0000100	0	0	0	0	1.0	1.0	2934
FBgn0000108	8	3	0	5	0.0625	1.0	12
FBgn0000109	7	6	7	10	0.6290588378906248	1.0	97
FBgn0000114	26	3	0	1	1.0	1.0	5
FBgn0000115	1	1	19	21	0.8746293123804203	1.0	193
FBgn0000116	13	5	27	24	0.7797679305530745	1.0	2065
FBgn0000117	3	2	28	18	0.18392482137699082	1.0	197
FBgn0000119	62	2	6	2	0.2890625000000001	1.0	28
FBgn0000120	6	0	0	0	1.0	1.0	0
FBgn0000121	6	0	0	0	1.0	1.0	0
FBgn0000137	5	0	0	0	1.0	1.0	0
FBgn0000139	31	8	7	12	0.35928344726562544	1.0	108
FBgn0000140	30	1	2	0	0.5	1.0	4
FBgn0000142	6	0	0	0	1.0	1.0	25
FBgn0000146	15	0	0	0	1.0	1.0	0
FBgn0000147	10	0	0	0	1.0	1.0	1
FBgn0000150	1	1	52	83	0.009564829687715899	0.4602571282415783	914
FBgn0000152	15	3	1	1	1.0	1.0	11
FBgn0000153	13	0	0	0	1.0	1.0	0
FBgn0000157	0	0	0	0	1.0	1.0	0
FBgn0000158	0	0	0	0	1.0	1.0	0
FBgn0000163	20	2	2	2	1.0	1.0	29
FBgn0000166	3	0	0	0	1.0	1.0	2
FBgn0000171	0	0	0	0	1.0	1.0	45
FBgn0000173	3	2	18	13	0.47312965989112865	1.0	327
FBgn0000179	7	0	0	0	1.0	1.0	1
FBgn0000180	27	1	2	0	0.5	1.0	4
FBgn0000181	14	10	71	68	0.8653735109027345	1.0	1074
FBgn0000182	18	0	0	0	1.0	1.0	7
FBgn0000183	13	2	5	6	0.9999999999999998	1.0	118
FBgn0000206	16	0	0	0	1.0	1.0	0
FBgn0000210	26	0	0	0	1.0	1.0	0
FBgn0000212	7	0	0	0	1.0	1.0	53
FBgn0000216	1	0	0	0	1.0	1.0	0
FBgn0000221	1	1	0	2	0.5	1.0	18
FBgn0000227	18	0	0	0	1.0	1.0	0
FBgn0000228	34	4	7	12	0.35928344726562544	1.0	59
FBgn0000229	22	2	7	12	0.35928344726562544	1.0	256
FBgn0000233	6	0	0	0	1.0	1.0	0
FBgn0000239	2	0	0	0	1.0	1.0	49
FBgn0000241	20	3	3	9	0.14599609374999983	1.0	1
FBgn0000242	10	0	0	0	1.0	1.0	7
FBgn0000244	22	1	2	1	0.6250000000000002	1.0	100
FBgn0000246	15	2	2	0	0.5	1.0	11
FBgn0000247	37	1	9	0	0.00390625	0.24507186181434598	39
FBgn0000250	11	6	19	17	0.8679394004284404	1.0	383
FBgn0000251	5	0	0	0	1.0	1.0	147
FBgn0000253	5	4	169	157	0.507006460810343	1.0	1827
FBgn0000256	56	4	35	32	0.807194691367025	1.0	334
FBgn0000257	9	2	8	6	0.7905273437499998	1.0	62
FBgn0000258	0	0	0	0	1.0	1.0	325
FBgn0000259	10	2	1	4	0.3749999999999999	1.0	299
FBgn0000261	4	1	23	21	0.8803958212806717	1.0	443
FBgn0000273	38	9	0	1	1.0	1.0	20
FBgn0000274	3	0	0	0	1.0	1.0	0
FBgn0000276	10	2	0	5	0.0625	1.0	5
FBgn0000277	8	2	1	1	1.0	1.0	16
FBgn0000278	5	0	0	0	1.0	1.0	0
FBgn0000279	2	2	4	1	0.3749999999999999	1.0	22
FBgn0000280	1	0	0	0	1.0	1.0	0
FBgn0000281	7	0	0	0	1.0	1.0	0
FBgn0000283	10	2	8	0	0.007812500000000002	0.4019517733564015	57
FBgn0000286	20	0	0	0	1.0	1.0	63
FBgn0000287	33	0	0	0	1.0	1.0	2
FBgn0000289	38	16	3	10	0.05737304687499999	1.0	111
FBgn0000299	9	1	1	0	1.0	1.0	7
FBgn0000303	28	0	0	0	1.0	1.0	0
FBgn0000307	36	0	0	0	1.0	1.0	23
FBgn0000308	0	0	0	0	1.0	1.0	1440
FBgn0000313	18	0	0	0	1.0	1.0	0
FBgn0000316	0	0	0	0	1.0	1.0	1
FBgn0000317	46	1	1	3	0.6250000000000001	1.0	12
FBgn0000318	3	3	37	59	0.03154812025373345	0.900362764016819	681
FBgn0000319	11	2	64	61	0.8581193732635913	1.0	447
FBgn0000320	17	0	0	0	1.0	1.0	0
FBgn0000326	22	9	12	16	0.571588188409805	1.0	47
FBgn0000330	5	3	1	0	1.0	1.0	7
FBgn0000337	2	0	0	0	1.0	1.0	1
FBgn0000338	42	13	101	104	0.8889523448298258	1.0	584
FBgn0000339	4	4	27	38	0.214539194008178	1.0	385
FBgn0000346	10	0	0	0	1.0	1.0	0
FBgn0000351	9	1	3	4	1.0	1.0	0
FBgn0000352	12	2	3	2	0.9999999999999998	1.0	14
FBgn0000355	2	0	0	0	1.0	1.0	0
FBgn0000356	3	1	0	2	0.5	1.0	2
FBgn0000357	3	0	0	0	1.0	1.0	4
FBgn0000358	3	0	0	0	1.0	1.0	1
FBgn0000359	3	0	0	0	1.0	1.0	0
FBgn0000360	6	0	0	0	1.0	1.0	2
FBgn0000363	51	0	0	0	1.0	1.0	1
FBgn0000370	7	5	38	54	0.11737015883134437	1.0	970
FBgn0000376	18	0	0	0	1.0	1.0	12
FBgn0000377	10	2	5	9	0.4239501953124998	1.0	59
FBgn0000382	34	3	0	2	0.5	1.0	68
FBgn0000384	1	1	3	3	1.0	1.0	35
FBgn0000392	11	1	3	4	1.0	1.0	24
FBgn0000394	0	0	0	0	1.0	1.0	6
FBgn0000395	19	6	31	34	0.804317000193398	1.0	253
FBgn0000404	14	0	0	0	1.0	1.0	2
FBgn0000405	20	7	1	1	1.0	1.0	10
FBgn0000406	5	2	5	8	0.5810546874999996	1.0	101
FBgn0000409	5	5	271	212	0.008246164013413118	0.41283573304861837	1246
FBgn0000411	4	0	0	0	1.0	1.0	1
FBgn0000412	2	2	1	0	1.0	1.0	123
FBgn0000413	4	0	0	0	1.0	1.0	230
FBgn0000414	32	0	0	0	1.0	1.0	0
FBgn0000416	8	2	74	58	0.1914987718734711	1.0	863
FBgn0000422	8	1	0	2	0.5	1.0	9
FBgn0000426	0	0	0	0	1.0	1.0	80
FBgn0000427	3	0	0	0	1.0	1.0	0
FBgn0000439	3	0	0	0	1.0	1.0	0
FBgn0000442	17	0	0	0	1.0	1.0	9
FBgn0000447	1	0	0	0	1.0	1.0	115
FBgn0000448	46	4	0	1	1.0	1.0	2
FBgn0000449	7	2	0	1	1.0	1.0	0
FBgn0000451	16	1	1	0	1.0	1.0	9
FBgn0000454	10	4	29	12	0.011507789735333073	0.5232615427927928	699
FBgn0000455	10	5	39	15	0.0014962588853935069	0.11542305701818231	292
FBgn0000459	0	0	0	0	1.0	1.0	8
FBgn0000463	19	2	3	2	0.9999999999999998	1.0	13
FBgn0000464	17	0	0	0	1.0	1.0	6
FBgn0000472	6	2	9	6	0.6072387695312503	1.0	588
FBgn0000473	8	4	57	26	8.775517800028658E-4	0.07813363722672223	285
FBgn0000477	8	5	5	6	0.9999999999999998	1.0	22
FBgn0000479	19	0	0	0	1.0	1.0	90
FBgn0000482	11	1	2	4	0.6875000000000004	1.0	27
FBgn0000489	14	2	1	1	1.0	1.0	44
FBgn0000490	31	0	0	0	1.0	1.0	35
FBgn0000492	6	0	0	0	1.0	1.0	3
FBgn0000497	69	0	0	0	1.0	1.0	0
FBgn0000499	14	0	0	0	1.0	1.0	12
FBgn0000500	0	0	0	0	1.0	1.0	0
FBgn0000504	1	0	0	0	1.0	1.0	72
FBgn0000520	6	3	3	2	0.9999999999999998	1.0	20
FBgn0000524	19	0	0	0	1.0	1.0	15
FBgn0000527	18	0	0	0	1.0	1.0	0
FBgn0000529	4	0	0	0	1.0	1.0	0
FBgn0000533	1	0	0	0	1.0	1.0	3
FBgn0000535	0	0	0	0	1.0	1.0	0
FBgn0000536	1	1	3	3	1.0	1.0	142
FBgn0000541	0	0	0	0	1.0	1.0	53
FBgn0000542	58	0	0	0	1.0	1.0	3
FBgn0000543	2	0	0	0	1.0	1.0	32
FBgn0000546	25	5	4	2	0.6875000000000004	1.0	22
FBgn0000547	37	2	1	4	0.3749999999999999	1.0	24
FBgn0000551	0	0	0	0	1.0	1.0	0
FBgn0000552	3	0	0	0	1.0	1.0	0
FBgn0000556	5	4	489	457	0.31350332433183653	1.0	7522
FBgn0000557	0	0	0	0	1.0	1.0	7
FBgn0000559	1	0	0	0	1.0	1.0	2373
FBgn0000560	3	0	0	0	1.0	1.0	0
FBgn0000562	24	5	11	9	0.8238029479980468	1.0	73
FBgn0000564	2	0	0	0	1.0	1.0	0
FBgn0000565	7	4	26	28	0.7877061896700437	1.0	179
FBgn0000566	12	8	50	81	0.008511369817291817	0.4232627351615787	272
FBgn0000567	42	1	2	3	0.9999999999999998	1.0	59
FBgn0000568	6	3	7	6	0.9999999999999996	1.0	640
FBgn0000575	8	6	33	38	0.6353076420876661	1.0	197
FBgn0000576	16	0	0	0	1.0	1.0	0
FBgn0000577	2	0	0	0	1.0	1.0	0
FBgn0000578	61	17	5	4	1.0	1.0	51
FBgn0000579	42	15	124	84	0.006706296396435028	0.37069115657469304	628
FBgn0000581	16	2	1	1	1.0	1.0	82
FBgn0000588	25	1	3	0	0.25000000000000006	1.0	5
FBgn0000591	0	0	0	0	1.0	1.0	0
FBgn0000592	17	4	9	8	0.9999999999999999	1.0	34
FBgn0000594	7	0	0	0	1.0	1.0	0
FBgn0000606	7	0	0	0	1.0	1.0	0
FBgn0000611	7	0	0	0	1.0	1.0	86
FBgn0000615	9	0	0	0	1.0	1.0	67
FBgn0000617	4	2	7	3	0.3437500000000002	1.0	52
FBgn0000618	0	0	0	0	1.0	1.0	24
FBgn0000625	9	0	0	0	1.0	1.0	0
FBgn0000629	46	11	24	15	0.1995908669196068	1.0	61
FBgn0000630	41	0	0	0	1.0	1.0	0
FBgn0000633	45	3	1	2	1.0	1.0	7
FBgn0000634	1	0	0	0	1.0	1.0	8
FBgn0000635	8	3	3	3	1.0	1.0	56
FBgn0000636	28	8	4	9	0.2668457031250001	1.0	49
FBgn0000639	32	0	0	0	1.0	1.0	0
FBgn0000640	6	0	0	0	1.0	1.0	0
FBgn0000644	2	2	1	4	0.3749999999999999	1.0	7
FBgn0000658	16	0	0	0	1.0	1.0	0
FBgn0000659	7	4	9	14	0.4048728942871096	1.0	154
FBgn0000662	6	3	7	16	0.0931396484375	1.0	111
FBgn0000667	4	3	13	4	0.049041748046875	1.0	70
FBgn0000709	13	2	3	6	0.5078125000000004	1.0	41
