gene	all_snps	covered_snps	line_738	line_721	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	38	0	0	0	1.0	1.0	0
FBgn0000014	4	0	0	0	1.0	1.0	1
FBgn0000015	17	0	0	0	1.0	1.0	1
FBgn0000017	9	0	0	0	1.0	1.0	39
FBgn0000018	10	1	0	3	0.25000000000000006	1.0	14
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	6	1	2	2	1.0	1.0	29
FBgn0000028	6	0	0	0	1.0	1.0	0
FBgn0000032	1	1	2	0	0.5	1.0	38
FBgn0000036	3	0	0	0	1.0	1.0	0
FBgn0000037	9	0	0	0	1.0	1.0	0
FBgn0000038	24	1	0	1	1.0	1.0	1
FBgn0000039	2	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	1999
FBgn0000043	0	0	0	0	1.0	1.0	195
FBgn0000044	9	2	3	3	1.0	1.0	410
FBgn0000045	0	0	0	0	1.0	1.0	5
FBgn0000046	5	0	0	0	1.0	1.0	172
FBgn0000047	3	0	0	0	1.0	1.0	0
FBgn0000052	17	0	0	0	1.0	1.0	11
FBgn0000053	26	4	5	2	0.45312499999999994	1.0	20
FBgn0000054	1	0	0	0	1.0	1.0	34
FBgn0000055	9	0	0	0	1.0	1.0	0
FBgn0000056	5	0	0	0	1.0	1.0	0
FBgn0000057	8	1	2	0	0.5	1.0	11
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	7	0	0	0	1.0	1.0	0
FBgn0000064	11	6	46	73	0.016786329118478112	0.5558929346606927	794
FBgn0000071	1	0	0	0	1.0	1.0	0
FBgn0000075	16	2	0	1	1.0	1.0	2
FBgn0000077	6	0	0	0	1.0	1.0	55
FBgn0000078	1	1	375	0	2.5988524414111807E-113	7.72846739026857E-110	1157
FBgn0000079	2	0	0	0	1.0	1.0	4278
FBgn0000083	2	0	0	0	1.0	1.0	290
FBgn0000084	0	0	0	0	1.0	1.0	11
FBgn0000092	0	0	0	0	1.0	1.0	0
FBgn0000094	2	0	0	0	1.0	1.0	0
FBgn0000097	15	3	0	4	0.125	1.0	44
FBgn0000099	4	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	2229
FBgn0000108	10	0	0	0	1.0	1.0	6
FBgn0000109	14	9	18	19	0.9999999999999997	1.0	60
FBgn0000114	6	0	0	0	1.0	1.0	0
FBgn0000115	1	1	2	8	0.10937499999999992	1.0	90
FBgn0000116	21	8	58	136	2.1088308233479042E-8	5.806704724511109E-6	2152
FBgn0000117	5	1	0	1	1.0	1.0	143
FBgn0000119	57	1	0	1	1.0	1.0	29
FBgn0000120	0	0	0	0	1.0	1.0	2
FBgn0000121	10	0	0	0	1.0	1.0	0
FBgn0000137	7	0	0	0	1.0	1.0	0
FBgn0000139	26	8	13	18	0.47312965989112865	1.0	101
FBgn0000140	0	0	0	0	1.0	1.0	0
FBgn0000142	38	3	3	3	1.0	1.0	11
FBgn0000146	2	0	0	0	1.0	1.0	0
FBgn0000147	1	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	768
FBgn0000152	25	1	1	3	0.6250000000000001	1.0	16
FBgn0000153	9	0	0	0	1.0	1.0	0
FBgn0000157	2	0	0	0	1.0	1.0	0
FBgn0000158	1	0	0	0	1.0	1.0	2
FBgn0000163	34	0	0	0	1.0	1.0	4
FBgn0000166	2	0	0	0	1.0	1.0	1
FBgn0000171	2	1	1	1	1.0	1.0	13
FBgn0000173	1	1	1	0	1.0	1.0	217
FBgn0000179	22	0	0	0	1.0	1.0	0
FBgn0000180	27	2	0	1	1.0	1.0	1
FBgn0000181	8	6	47	63	0.15233780606025268	1.0	764
FBgn0000182	0	0	0	0	1.0	1.0	0
FBgn0000183	10	2	2	6	0.2890625000000001	1.0	37
FBgn0000206	5	0	0	0	1.0	1.0	0
FBgn0000210	8	0	0	0	1.0	1.0	2
FBgn0000212	20	1	1	0	1.0	1.0	21
FBgn0000216	0	0	0	0	1.0	1.0	0
FBgn0000221	0	0	0	0	1.0	1.0	18
FBgn0000227	24	0	0	0	1.0	1.0	0
FBgn0000228	22	4	1	2	1.0	1.0	29
FBgn0000229	35	4	8	2	0.10937499999999992	1.0	116
FBgn0000233	9	0	0	0	1.0	1.0	0
FBgn0000239	4	0	0	0	1.0	1.0	27
FBgn0000241	16	3	1	2	1.0	1.0	5
FBgn0000242	3	0	0	0	1.0	1.0	4
FBgn0000244	17	1	1	3	0.6250000000000001	1.0	82
FBgn0000246	1	0	0	0	1.0	1.0	1
FBgn0000247	8	0	0	0	1.0	1.0	13
FBgn0000250	2	2	0	1	1.0	1.0	161
FBgn0000251	4	2	0	1	1.0	1.0	49
FBgn0000253	5	4	64	70	0.6659501639012321	1.0	800
FBgn0000256	62	5	4	4	1.0	1.0	82
FBgn0000257	18	2	4	2	0.6875000000000004	1.0	18
FBgn0000258	0	0	0	0	1.0	1.0	181
FBgn0000259	3	1	1	0	1.0	1.0	144
FBgn0000261	2	1	13	27	0.03847730828420025	0.9680338541666673	329
FBgn0000273	38	2	0	1	1.0	1.0	10
FBgn0000274	1	0	0	0	1.0	1.0	0
FBgn0000276	0	0	0	0	1.0	1.0	0
FBgn0000277	0	0	0	0	1.0	1.0	0
FBgn0000278	0	0	0	0	1.0	1.0	0
FBgn0000279	1	0	0	0	1.0	1.0	0
FBgn0000280	1	0	0	0	1.0	1.0	0
FBgn0000281	2	0	0	0	1.0	1.0	0
FBgn0000283	1	0	0	0	1.0	1.0	19
FBgn0000286	9	5	5	6	0.9999999999999998	1.0	21
FBgn0000287	22	0	0	0	1.0	1.0	0
FBgn0000289	2	1	2	0	0.5	1.0	26
FBgn0000299	11	0	0	0	1.0	1.0	0
FBgn0000303	3	0	0	0	1.0	1.0	0
FBgn0000307	29	1	0	1	1.0	1.0	5
FBgn0000308	2	1	9	28	0.002563207992352541	0.1477222466600385	600
FBgn0000313	2	0	0	0	1.0	1.0	0
FBgn0000316	0	0	0	0	1.0	1.0	0
FBgn0000317	35	2	1	0	1.0	1.0	3
FBgn0000318	1	1	30	20	0.20263875106454057	1.0	383
FBgn0000319	17	2	8	14	0.28627872467041	1.0	170
FBgn0000320	20	0	0	0	1.0	1.0	0
FBgn0000326	0	0	0	0	1.0	1.0	28
FBgn0000330	0	0	0	0	1.0	1.0	1
FBgn0000337	10	0	0	0	1.0	1.0	0
FBgn0000338	9	1	1	3	0.6250000000000001	1.0	199
FBgn0000339	1	1	7	9	0.8036193847656253	1.0	267
FBgn0000346	6	0	0	0	1.0	1.0	0
FBgn0000351	3	0	0	0	1.0	1.0	0
FBgn0000352	9	0	0	0	1.0	1.0	6
FBgn0000355	1	0	0	0	1.0	1.0	0
FBgn0000356	3	1	0	1	1.0	1.0	2
FBgn0000357	3	1	0	1	1.0	1.0	1
FBgn0000358	6	0	0	0	1.0	1.0	0
FBgn0000359	3	0	0	0	1.0	1.0	0
FBgn0000360	2	0	0	0	1.0	1.0	0
FBgn0000363	43	0	0	0	1.0	1.0	0
FBgn0000370	4	0	0	0	1.0	1.0	531
FBgn0000376	4	0	0	0	1.0	1.0	3
FBgn0000377	13	5	5	11	0.21011352539062506	1.0	28
FBgn0000382	36	3	1	0	1.0	1.0	30
FBgn0000384	0	0	0	0	1.0	1.0	26
FBgn0000392	15	0	0	0	1.0	1.0	18
FBgn0000394	3	0	0	0	1.0	1.0	13
FBgn0000395	36	3	5	2	0.45312499999999994	1.0	33
FBgn0000404	17	3	3	0	0.25000000000000006	1.0	5
FBgn0000405	1	0	0	0	1.0	1.0	0
FBgn0000406	0	0	0	0	1.0	1.0	11
FBgn0000409	3	1	1	2	1.0	1.0	547
FBgn0000411	11	0	0	0	1.0	1.0	0
FBgn0000412	0	0	0	0	1.0	1.0	88
FBgn0000413	4	0	0	0	1.0	1.0	49
FBgn0000414	31	0	0	0	1.0	1.0	0
FBgn0000416	3	3	43	25	0.03846005334892738	0.9680338541666673	719
FBgn0000422	2	0	0	0	1.0	1.0	28
FBgn0000426	0	0	0	0	1.0	1.0	21
FBgn0000427	5	0	0	0	1.0	1.0	0
FBgn0000439	5	0	0	0	1.0	1.0	0
FBgn0000442	19	0	0	0	1.0	1.0	21
FBgn0000447	1	1	0	2	0.5	1.0	58
FBgn0000448	42	0	0	0	1.0	1.0	4
