gene	all_snps	covered_snps	line_890	line_332	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	25	0	0	0	1.0	1.0	0
FBgn0000014	4	0	0	0	1.0	1.0	2
FBgn0000015	5	0	0	0	1.0	1.0	0
FBgn0000017	5	0	0	0	1.0	1.0	111
FBgn0000018	10	2	0	5	0.0625	1.0	41
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	0	0	0	0	1.0	1.0	9
FBgn0000028	1	0	0	0	1.0	1.0	0
FBgn0000032	8	4	3	3	1.0	1.0	36
FBgn0000036	4	0	0	0	1.0	1.0	0
FBgn0000037	10	0	0	0	1.0	1.0	0
FBgn0000038	2	0	0	0	1.0	1.0	0
FBgn0000039	8	0	0	0	1.0	1.0	0
FBgn0000042	8	4	92	139	0.0024004554112791957	0.27246085122374325	5948
FBgn0000043	2	1	40	46	0.5900356111485575	1.0	485
FBgn0000044	26	6	57	50	0.5620926850537897	1.0	265
FBgn0000045	0	0	0	0	1.0	1.0	17
FBgn0000046	16	8	25	28	0.783846302209499	1.0	159
FBgn0000047	3	0	0	0	1.0	1.0	4
FBgn0000052	10	2	0	3	0.25000000000000006	1.0	19
FBgn0000053	55	2	2	0	0.5	1.0	6
FBgn0000054	4	1	0	1	1.0	1.0	49
FBgn0000055	4	0	0	0	1.0	1.0	0
FBgn0000056	3	0	0	0	1.0	1.0	0
FBgn0000057	2	0	0	0	1.0	1.0	20
FBgn0000061	0	0	0	0	1.0	1.0	0
FBgn0000063	1	0	0	0	1.0	1.0	4
FBgn0000064	5	2	16	16	1.0	1.0	765
FBgn0000071	2	0	0	0	1.0	1.0	0
FBgn0000075	18	0	0	0	1.0	1.0	0
FBgn0000077	0	0	0	0	1.0	1.0	54
FBgn0000078	5	3	0	53	2.2204460492503146E-16	2.5396778697156095E-13	544
FBgn0000079	3	3	147	160	0.493484911478442	1.0	2968
FBgn0000083	9	5	7	9	0.8036193847656253	1.0	371
FBgn0000084	0	0	0	0	1.0	1.0	33
FBgn0000092	5	0	0	0	1.0	1.0	1
FBgn0000094	2	1	2	0	0.5	1.0	6
FBgn0000097	22	10	15	16	1.0	1.0	227
FBgn0000099	21	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	1623
FBgn0000108	12	0	0	0	1.0	1.0	2
FBgn0000109	5	3	8	7	1.0	1.0	71
FBgn0000114	22	1	0	1	1.0	1.0	6
FBgn0000115	2	1	3	3	1.0	1.0	109
FBgn0000116	11	8	43	127	7.964576811457231E-11	4.737011704382303E-8	1292
FBgn0000117	0	0	0	0	1.0	1.0	123
FBgn0000119	51	4	1	4	0.3749999999999999	1.0	23
FBgn0000120	5	0	0	0	1.0	1.0	0
FBgn0000121	18	0	0	0	1.0	1.0	0
FBgn0000137	6	0	0	0	1.0	1.0	0
FBgn0000139	2	1	0	3	0.25000000000000006	1.0	83
FBgn0000140	1	0	0	0	1.0	1.0	0
FBgn0000142	0	0	0	0	1.0	1.0	43
FBgn0000146	10	0	0	0	1.0	1.0	0
FBgn0000147	5	2	0	1	1.0	1.0	3
FBgn0000150	0	0	0	0	1.0	1.0	658
FBgn0000152	8	1	0	2	0.5	1.0	12
FBgn0000153	6	0	0	0	1.0	1.0	1
FBgn0000157	7	0	0	0	1.0	1.0	0
FBgn0000158	2	0	0	0	1.0	1.0	0
FBgn0000163	10	2	3	2	0.9999999999999998	1.0	44
FBgn0000166	2	0	0	0	1.0	1.0	0
FBgn0000171	1	0	0	0	1.0	1.0	36
FBgn0000173	1	0	0	0	1.0	1.0	177
FBgn0000179	10	0	0	0	1.0	1.0	0
FBgn0000180	17	1	0	2	0.5	1.0	5
FBgn0000181	14	10	48	35	0.18745986796619274	1.0	635
FBgn0000182	12	0	0	0	1.0	1.0	1
FBgn0000183	7	2	8	1	0.03906250000000003	1.0	94
