gene	all_snps	covered_snps	line_287	line_802	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	35	0	0	0	1.0	1.0	0
FBgn0000014	13	0	0	0	1.0	1.0	4
FBgn0000015	17	0	0	0	1.0	1.0	5
FBgn0000017	5	1	7	6	0.9999999999999996	1.0	35
FBgn0000018	4	0	0	0	1.0	1.0	22
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	6	0	0	0	1.0	1.0	34
FBgn0000028	1	0	0	0	1.0	1.0	0
FBgn0000032	0	0	0	0	1.0	1.0	41
FBgn0000036	14	0	0	0	1.0	1.0	0
FBgn0000037	4	0	0	0	1.0	1.0	0
FBgn0000038	8	0	0	0	1.0	1.0	0
FBgn0000039	13	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	2929
FBgn0000043	0	0	0	0	1.0	1.0	257
FBgn0000044	21	6	72	70	0.9331607923848082	1.0	458
FBgn0000045	2	0	0	0	1.0	1.0	6
FBgn0000046	14	2	3	0	0.25000000000000006	1.0	217
FBgn0000047	6	0	0	0	1.0	1.0	3
FBgn0000052	0	0	0	0	1.0	1.0	12
FBgn0000053	14	1	0	2	0.5	1.0	13
FBgn0000054	0	0	0	0	1.0	1.0	63
FBgn0000055	0	0	0	0	1.0	1.0	0
FBgn0000056	0	0	0	0	1.0	1.0	0
FBgn0000057	3	1	0	2	0.5	1.0	24
FBgn0000061	2	0	0	0	1.0	1.0	0
FBgn0000063	6	0	0	0	1.0	1.0	4
FBgn0000064	5	2	85	62	0.06923250717353212	1.0	946
FBgn0000071	4	0	0	0	1.0	1.0	0
FBgn0000075	0	0	0	0	1.0	1.0	4
FBgn0000077	5	2	2	1	0.6250000000000002	1.0	18
FBgn0000078	10	4	17	2	7.28607177734373E-4	0.16169641978705065	287
FBgn0000079	3	0	0	0	1.0	1.0	492
FBgn0000083	1	0	0	0	1.0	1.0	341
FBgn0000084	0	0	0	0	1.0	1.0	15
FBgn0000092	0	0	0	0	1.0	1.0	1
FBgn0000094	3	0	0	0	1.0	1.0	0
FBgn0000097	1	0	0	0	1.0	1.0	54
FBgn0000099	3	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	1861
FBgn0000108	5	0	0	0	1.0	1.0	1
FBgn0000109	6	2	1	3	0.6250000000000001	1.0	47
FBgn0000114	15	3	0	2	0.5	1.0	14
FBgn0000115	0	0	0	0	1.0	1.0	88
FBgn0000116	15	6	98	60	0.00311962328998186	0.4685422090781846	2068
FBgn0000117	5	1	0	1	1.0	1.0	137
FBgn0000119	10	0	0	0	1.0	1.0	23
FBgn0000120	0	0	0	0	1.0	1.0	0
FBgn0000121	8	0	0	0	1.0	1.0	0
FBgn0000137	10	0	0	0	1.0	1.0	0
FBgn0000139	13	2	6	4	0.7539062500000002	1.0	68
FBgn0000140	22	0	0	0	1.0	1.0	0
FBgn0000142	16	0	0	0	1.0	1.0	22
FBgn0000146	4	0	0	0	1.0	1.0	0
FBgn0000147	1	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	687
FBgn0000152	18	0	0	0	1.0	1.0	17
FBgn0000153	14	0	0	0	1.0	1.0	0
FBgn0000157	6	0	0	0	1.0	1.0	0
FBgn0000158	4	0	0	0	1.0	1.0	0
FBgn0000163	1	0	0	0	1.0	1.0	8
FBgn0000166	1	0	0	0	1.0	1.0	0
FBgn0000171	0	0	0	0	1.0	1.0	17
FBgn0000173	0	0	0	0	1.0	1.0	194
FBgn0000179	13	0	0	0	1.0	1.0	0
FBgn0000180	14	0	0	0	1.0	1.0	2
FBgn0000181	4	4	54	39	0.1461770286471527	1.0	747
FBgn0000182	1	0	0	0	1.0	1.0	0
FBgn0000183	10	0	0	0	1.0	1.0	66
FBgn0000206	5	0	0	0	1.0	1.0	0
FBgn0000210	38	0	0	0	1.0	1.0	0
FBgn0000212	14	4	0	3	0.25000000000000006	1.0	26
FBgn0000216	7	0	0	0	1.0	1.0	0
FBgn0000221	7	1	1	0	1.0	1.0	10
FBgn0000227	3	0	0	0	1.0	1.0	0
FBgn0000228	27	0	0	0	1.0	1.0	33
FBgn0000229	11	2	2	2	1.0	1.0	160
FBgn0000233	5	0	0	0	1.0	1.0	0
FBgn0000239	4	1	3	0	0.25000000000000006	1.0	17
FBgn0000241	9	0	0	0	1.0	1.0	0
FBgn0000242	4	0	0	0	1.0	1.0	1
FBgn0000244	11	4	1	2	1.0	1.0	85
FBgn0000246	11	0	0	0	1.0	1.0	2
FBgn0000247	46	3	6	3	0.5078125000000004	1.0	16
FBgn0000250	3	3	13	6	0.16706848144531256	1.0	114
FBgn0000251	2	0	0	0	1.0	1.0	60
FBgn0000253	2	1	39	19	0.011928139715763147	1.0	1320
FBgn0000256	16	0	0	0	1.0	1.0	76
FBgn0000257	6	0	0	0	1.0	1.0	20
FBgn0000258	0	0	0	0	1.0	1.0	175
